,TWI_raster
0,-15.4692545
1,-17.256163
2,-14.646663
3,-11.559272
4,-12.313371
5,-12.623847
6,-14.421558
7,-16.316511
8,-15.605475
9,-15.056336
10,-10.949315
11,-16.306896
12,-16.71236
13,-16.532099
14,-15.977149
15,-15.187215
16,-13.264121
17,-13.504071
18,-16.251179
19,-15.411998
20,-15.130077
21,-13.44027
22,-13.736692
23,-10.349417
24,-10.804256
25,-15.220627
26,-14.49447
27,-16.31395
28,-17.023611
29,-16.258457
30,-15.23009
31,-13.663805
32,-14.455834
33,-16.47489
34,-15.225342
35,-14.458169
36,-15.708541
37,-15.447865
38,-15.737653
39,-12.809921
40,-12.113229
41,-13.131274
42,-13.041621
43,-13.077081
44,-14.810338
45,-16.651476
46,-15.618436
47,-15.092934
48,-15.041275
49,-16.66119
50,-15.355684
51,-14.934721
52,-16.077364
53,-16.31548
54,-15.925407
55,-16.056534
56,-13.086252
57,-12.450161
58,-12.738148
59,-14.590678
60,-13.580483
61,-13.189478
62,-14.492473
63,-15.786257
64,-15.855662
65,-15.549145
66,-15.166356
67,-16.750776
68,-16.33338
69,-16.41625
70,-17.373678
71,-17.207003
72,-16.639019
73,-14.884423
74,-12.203058
75,-13.487155
76,-15.24143
77,-15.309887
78,-15.471202
79,-14.745026
80,-12.394468
81,-14.302149
82,-15.777642
83,-16.138775
84,-16.915443
85,-17.112549
86,-16.870407
87,-16.424889
88,-16.194704
89,-16.223557
90,-16.723417
91,-14.838939
92,-12.718026
93,-12.0413065
94,-15.997213
95,-15.760597
96,-15.69211
97,-16.61866
98,-15.054026
99,-14.483128
100,-14.738244
101,-15.084018
102,-16.461754
103,-16.446259
104,-15.064156
105,-13.759911
106,-14.715228
107,-15.585135
108,-15.591576
109,-15.752595
110,-13.897159
111,-13.107026
112,-10.717666
113,-13.156933
114,-14.839135
115,-15.783519
116,-16.71745
117,-16.106865
118,-15.313358
119,-15.2293005
120,-16.057306
121,-15.906695
122,-14.796808
123,-13.931975
124,-13.000937
125,-12.530798
126,-12.213332
127,-14.329576
128,-16.38087
129,-15.699468
130,-15.216235
131,-13.803685
132,-14.074302
133,-14.418479
134,-14.502442
135,-15.575616
136,-16.423904
137,-16.416466
138,-15.948757
139,-16.240488
140,-15.515183
141,-15.171636
142,-14.789045
143,-15.54443
144,-15.793891
145,-13.193187
146,-11.929599
147,-14.81548
148,-16.309713
149,-15.483587
150,-13.61256
151,-14.313441
152,-15.355573
153,-15.176027
154,-15.925731
155,-16.742868
156,-17.104904
157,-17.367096
158,-16.835068
159,-16.885555
160,-17.219395
161,-17.33096
162,-17.096346
163,-16.363647
164,-16.123205
165,-13.940893
166,-12.008656
167,-14.631365
168,-15.524561
169,-15.263147
170,-14.950338
171,-15.9939575
172,-16.34553
173,-16.166712
174,-17.3088
175,-15.712926
176,-15.722942
177,-16.8016
178,-15.292699
179,-15.554948
180,-15.114728
181,-15.928663
182,-16.700304
183,-16.795149
184,-15.624601
185,-15.303597
186,-12.052374
187,-15.939601
188,-15.840446
189,-16.00719
190,-16.849031
191,-17.52993
192,-16.67427
193,-16.7867
194,-15.318353
195,-15.093988
196,-16.61563
197,-15.156009
198,-15.33914
199,-14.285403
200,-14.056215
201,-14.746767
202,-15.800621
203,-16.928276
204,-16.438766
205,-16.469156
206,-17.121618
207,-17.192291
208,-17.22743
209,-16.946636
210,-16.840246
211,-16.47418
212,-15.328115
213,-15.193367
214,-15.162482
215,-16.280022
216,-16.324564
217,-15.134252
218,-14.688714
219,-13.849671
220,-13.108502
221,-14.565867
222,-15.820772
223,-16.927948
224,-16.482046
225,-15.450225
226,-15.22467
227,-14.889592
228,-15.897207
229,-16.54458
230,-16.250801
231,-14.478247
232,-14.663114
233,-16.16021
234,-15.722043
235,-15.91146
236,-17.022331
237,-15.571922
238,-15.600071
239,-14.30173
240,-13.333155
241,-14.163211
242,-16.073807
243,-16.89886
244,-15.439066
245,-14.399006
246,-13.58876
247,-13.661136
248,-15.72147
249,-15.230142
250,-13.788979
251,-15.306671
252,-15.202435
253,-15.439664
254,-16.662716
255,-16.360909
256,-14.734817
257,-13.975204
258,-13.222554
259,-12.763035
260,-14.843221
261,-17.132423
262,-15.675896
263,-14.322709
264,-12.921254
265,-12.248746
266,-13.858992
267,-12.645303
268,-13.423797
269,-14.78677
270,-15.331675
271,-16.285728
272,-16.262314
273,-16.583189
274,-14.987489
275,-13.730147
276,-11.624622
277,-12.160455
278,-16.264004
279,-17.30923
280,-16.2044
281,-13.497042
282,-12.647041
283,-11.216588
284,-11.200732
285,-10.616347
286,-12.948794
287,-15.763436
288,-15.6040125
289,-16.819134
290,-16.48085
291,-15.670115
292,-14.959681
293,-17.115765
294,-16.723372
295,-17.146204
296,-15.782656
297,-16.482882
298,-15.755347
299,-11.071583
300,-11.672396
301,-11.565603
302,-14.347842
303,-15.828449
304,-16.481918
305,-15.404262
306,-16.012613
307,-17.26226
308,-16.152649
309,-15.573085
310,-16.330538
311,-14.870141
312,-11.068617
313,-11.069039
314,-14.368602
315,-16.790442
