,dem
0,565.0
1,555.0
2,482.0
3,480.0
4,507.0
5,537.0
6,581.0
7,646.0
8,646.0
9,616.0
10,404.0
11,531.0
12,579.0
13,583.0
14,567.0
15,563.0
16,564.0
17,588.0
18,656.0
19,663.0
20,647.0
21,607.0
22,612.0
23,407.0
24,413.0
25,527.0
26,563.0
27,618.0
28,654.0
29,647.0
30,629.0
31,620.0
32,656.0
33,714.0
34,688.0
35,665.0
36,690.0
37,699.0
38,517.0
39,463.0
40,463.0
41,507.0
42,552.0
43,593.0
44,649.0
45,698.0
46,691.0
47,690.0
48,709.0
49,765.0
50,736.0
51,722.0
52,759.0
53,781.0
54,785.0
55,576.0
56,524.0
57,509.0
58,518.0
59,589.0
60,618.0
61,654.0
62,694.0
63,733.0
64,755.0
65,768.0
66,776.0
67,822.0
68,814.0
69,824.0
70,867.0
71,862.0
72,660.0
73,598.0
74,559.0
75,561.0
76,595.0
77,633.0
78,678.0
79,695.0
80,695.0
81,739.0
82,792.0
83,823.0
84,859.0
85,864.0
86,845.0
87,829.0
88,828.0
89,832.0
90,840.0
91,652.0
92,602.0
93,594.0
94,638.0
95,668.0
96,695.0
97,756.0
98,743.0
99,749.0
100,776.0
101,811.0
102,864.0
103,863.0
104,811.0
105,772.0
106,765.0
107,770.0
108,778.0
109,799.0
110,655.0
111,620.0
112,603.0
113,635.0
114,693.0
115,746.0
116,813.0
117,821.0
118,814.0
119,828.0
120,870.0
121,875.0
122,839.0
123,799.0
124,763.0
125,730.0
126,707.0
127,707.0
128,764.0
129,726.0
130,701.0
131,665.0
132,677.0
133,714.0
134,752.0
135,822.0
136,884.0
137,900.0
138,898.0
139,910.0
140,887.0
141,854.0
142,819.0
143,799.0
144,763.0
145,702.0
146,667.0
147,668.0
148,820.0
149,774.0
150,719.0
151,718.0
152,745.0
153,766.0
154,824.0
155,904.0
156,954.0
157,981.0
158,945.0
159,923.0
160,909.0
161,890.0
162,853.0
163,791.0
164,733.0
165,664.0
166,611.0
167,609.0
168,824.0
169,794.0
170,779.0
171,817.0
172,860.0
173,889.0
174,953.0
175,926.0
176,930.0
177,951.0
178,893.0
179,868.0
180,825.0
181,817.0
182,818.0
183,795.0
184,728.0
185,670.0
186,593.0
187,883.0
188,863.0
189,864.0
190,911.0
191,956.0
192,927.0
193,920.0
194,882.0
195,883.0
196,913.0
197,870.0
198,841.0
199,783.0
200,749.0
201,734.0
202,734.0
203,747.0
204,709.0
205,666.0
206,969.0
207,948.0
208,936.0
209,928.0
210,922.0
211,886.0
212,830.0
213,830.0
214,839.0
215,865.0
216,859.0
217,815.0
218,771.0
219,726.0
220,685.0
221,679.0
222,685.0
223,711.0
224,682.0
225,936.0
226,896.0
227,854.0
228,847.0
229,849.0
230,818.0
231,757.0
232,754.0
233,799.0
234,790.0
235,798.0
236,819.0
237,763.0
238,724.0
239,671.0
240,627.0
241,615.0
242,645.0
243,672.0
244,886.0
245,822.0
246,768.0
247,741.0
248,745.0
249,722.0
250,675.0
251,696.0
252,699.0
253,715.0
254,760.0
255,742.0
256,677.0
257,631.0
258,593.0
259,565.0
260,573.0
261,906.0
262,831.0
263,766.0
264,713.0
265,681.0
266,669.0
267,624.0
268,616.0
269,626.0
270,644.0
271,682.0
272,687.0
273,680.0
274,626.0
275,578.0
276,532.0
277,520.0
278,827.0
279,831.0
280,759.0
281,682.0
282,646.0
283,603.0
284,583.0
285,564.0
286,562.0
287,595.0
288,597.0
289,644.0
290,625.0
291,583.0
292,544.0
293,806.0
294,777.0
295,761.0
296,692.0
297,678.0
298,625.0
299,561.0
300,546.0
301,513.0
302,513.0
303,554.0
304,589.0
305,564.0
306,724.0
307,752.0
308,702.0
309,654.0
310,628.0
311,558.0
312,492.0
313,476.0
314,481.0
315,653.0
