,ground_failure_estimate_cropped
0,0.0008917664
1,0.0023484777
2,0.0021717497
3,0.0020303305
4,0.0021752135
5,0.000999125
6,0.000981256
7,0.0008165924
8,0.00079546054
9,0.0021051862
10,0.004090706
11,0.0038454456
12,0.0022263003
13,0.0021166902
14,0.0026109896
15,0.0025775358
16,0.002479088
17,0.0027574075
18,0.00233666
19,0.0009154515
20,0.0026799466
21,0.0031267265
22,0.003930645
23,0.0022936803
24,0.0026575716
25,0.003148644
26,0.0024927163
27,0.002156392
28,0.0021690999
29,0.0023271202
30,0.0025319506
31,0.0029234325
32,0.003010629
33,0.0029682927
34,0.0037036298
35,0.005255439
36,0.0070001488
37,0.0074069696
38,0.001061555
39,0.0023337947
40,0.001975309
41,0.002489258
42,0.0028868287
43,0.0027684583
44,0.0022046666
45,0.0019324253
46,0.0023488034
47,0.0030754278
48,0.0035381408
49,0.003709203
50,0.004880814
51,0.0070464364
52,0.007139264
53,0.007889742
54,0.0046876464
55,0.0010123107
56,0.0023629367
57,0.00241102
58,0.0033262735
59,0.0038323663
60,0.0032821428
61,0.0024432852
62,0.0022774318
63,0.002715478
64,0.0033144383
65,0.003893807
66,0.0036301964
67,0.0032765695
68,0.0029787552
69,0.0026257657
70,0.0031418474
71,0.0025503489
72,0.00096747454
73,0.0009176167
74,0.0019912845
75,0.0028547973
76,0.004432576
77,0.0049235835
78,0.003919958
79,0.0027980006
80,0.0029233384
81,0.0037519708
82,0.0041344753
83,0.0032523924
84,0.0023067666
85,0.0021331355
86,0.0021058358
87,0.0021848127
88,0.0024044504
89,0.0023398267
90,0.0020423543
91,0.0009870962
92,0.0020559265
93,0.0019130593
94,0.0029393886
95,0.0047758017
96,0.005526625
97,0.004502203
98,0.004025308
99,0.004460168
100,0.004941053
101,0.003952377
102,0.0023134835
103,0.0020001165
104,0.002410356
105,0.0009942051
106,0.000976588
107,0.0010251187
108,0.0010939098
109,0.0009278058
110,0.0027614308
111,0.0023912643
112,0.0022040566
113,0.003299359
114,0.0060499795
115,0.0075605353
116,0.006504564
117,0.0061543654
118,0.006543875
119,0.007147768
120,0.003138797
121,0.0022425444
122,0.0025006672
123,0.0010175384
124,0.0009668276
125,0.0009130783
126,0.00085935363
127,0.00066249666
128,0.00071059505
129,0.0036229524
130,0.0032929631
131,0.0030388662
132,0.004580765
133,0.008213347
134,0.010714473
135,0.008539822
136,0.005318262
137,0.004223296
138,0.004264299
139,0.0023382187
140,0.0020798715
141,0.0021630435
142,0.0009285159
143,0.0006741645
144,0.0007057038
145,0.00067908753
146,0.0006529297
147,0.0007074236
148,0.0033551243
149,0.004518595
150,0.0043273913
151,0.0048856447
152,0.008152418
153,0.011194711
154,0.009224356
155,0.0043718205
156,0.0024506785
157,0.0019735717
158,0.0020259244
159,0.0019499526
160,0.0009544282
161,0.0009781371
162,0.0010691537
163,0.0013010566
164,0.0007819648
165,0.0011209822
166,0.0010000488
167,0.0010689213
168,0.006021994
169,0.0063048014
170,0.007825656
171,0.010188741
172,0.007083307
173,0.0034017193
174,0.0020714183
175,0.0018664993
176,0.0017538517
177,0.0018236205
178,0.0010714321
179,0.001128171
180,0.00067237194
181,0.00067399855
182,0.00067048246
183,0.00067108433
184,0.0007158391
185,0.0012193116
186,0.0011544949
187,0.005519772
188,0.0052675596
189,0.0050235335
190,0.0037714483
191,0.002650627
192,0.0009723082
193,0.00098172
194,0.0009556346
195,0.0006436498
196,0.00064110756
197,0.0006693594
198,0.0007039588
199,0.0007064039
200,0.0009697019
201,0.00092201517
202,0.000872158
203,0.0006397384
204,0.0009066508
205,0.0007484589
206,0.0033804846
207,0.002950498
208,0.002738511
209,0.0026555695
210,0.002981427
211,0.0012984799
212,0.0012612077
213,0.0006940687
214,0.0006615118
215,0.0006602798
216,0.0006586762
217,0.00067091483
218,0.00069593947
219,0.0009521659
220,0.00088678533
221,0.00089419057
222,0.0006581133
223,0.00082580524
224,0.00066498085
225,0.0011508189
226,0.0011703275
227,0.0011402833
228,0.0013300402
229,0.001491084
230,0.0008236654
231,0.00076484313
232,0.00071897684
233,0.00071209716
234,0.00070764363
235,0.0006678959
236,0.0006430484
237,0.0009567163
238,0.0010628024
239,0.0009712048
240,0.00092447066
241,0.001006029
242,0.000997344
243,0.0009050302
244,0.0012307259
245,0.001367473
246,0.00078369473
247,0.00074667373
248,0.00073544134
249,0.0007219911
250,0.00072546874
251,0.00077023293
252,0.0011726681
253,0.0010582581
254,0.0009430542
255,0.00097610033
256,0.0011335702
257,0.0011258323
258,0.0009978276
259,0.0009779391
260,0.0010536923
261,0.0009852434
262,0.00073014357
263,0.000776956
264,0.00075297174
265,0.0007102551
266,0.0006814264
267,0.00066931243
268,0.00069523446
269,0.001094918
270,0.001133808
271,0.0011276071
272,0.0010463481
273,0.0010210887
274,0.0011002546
275,0.0010828455
276,0.00093304564
277,0.0010247998
278,0.00067378796
279,0.00068439514
280,0.00074498134
281,0.0007856315
282,0.00073934655
283,0.00068894034
284,0.0006632551
285,0.0008683708
286,0.00093215733
287,0.0011827367
288,0.00125635
289,0.0010176682
290,0.0009848671
291,0.0010939055
292,0.0010205497
293,0.00090030464
294,0.00066583755
295,0.00068890693
296,0.00071971404
297,0.00076427165
298,0.0007526651
299,0.00069674046
300,0.00092440983
301,0.0010201563
302,0.0012662108
303,0.0012380366
304,0.0006895955
305,0.00068472873
306,0.0006386152
307,0.00062405755
308,0.0006671266
309,0.0007462417
310,0.00079443975
311,0.0012462339
312,0.0010954577
313,0.00072490046
314,0.0008105301
315,0.0011057483
