,local_relief
0,6.0
1,6.0
2,6.0
3,6.0
4,6.0
5,6.0
6,6.0
7,6.0
8,6.0
9,6.0
10,7.0
11,6.0
12,6.0
13,6.0
14,6.0
15,6.0
16,6.0
17,6.0
18,5.0
19,5.0
20,6.0
21,6.0
22,5.0
23,9.0
24,7.0
25,6.0
26,6.0
27,6.0
28,6.0
29,6.0
30,6.0
31,5.0
32,5.0
33,5.0
34,5.0
35,5.0
36,5.0
37,3.0
38,6.0
39,9.0
40,9.0
41,7.0
42,6.0
43,6.0
44,6.0
45,6.0
46,5.0
47,5.0
48,5.0
49,3.0
50,3.0
51,3.0
52,3.0
53,3.0
54,3.0
55,6.0
56,7.0
57,9.0
58,7.0
59,6.0
60,6.0
61,6.0
62,5.0
63,5.0
64,5.0
65,3.0
66,3.0
67,3.0
68,3.0
69,3.0
70,2.0
71,2.0
72,5.0
73,6.0
74,7.0
75,7.0
76,7.0
77,6.0
78,5.0
79,5.0
80,5.0
81,5.0
82,3.0
83,3.0
84,2.0
85,2.0
86,2.0
87,2.0
88,2.0
89,2.0
90,2.0
91,6.0
92,6.0
93,7.0
94,7.0
95,6.0
96,5.0
97,3.0
98,3.0
99,3.0
100,3.0
101,3.0
102,2.0
103,2.0
104,2.0
105,2.0
106,3.0
107,2.0
108,3.0
109,2.0
110,5.0
111,7.0
112,7.0
113,7.0
114,5.0
115,3.0
116,3.0
117,2.0
118,2.0
119,2.0
120,2.0
121,2.0
122,2.0
123,2.0
124,2.0
125,3.0
126,5.0
127,5.0
128,3.0
129,3.0
130,5.0
131,6.0
132,6.0
133,3.0
134,3.0
135,2.0
136,2.0
137,2.0
138,2.0
139,2.0
140,2.0
141,2.0
142,2.0
143,3.0
144,3.0
145,3.0
146,5.0
147,3.0
148,3.0
149,3.0
150,5.0
151,5.0
152,3.0
153,3.0
154,2.0
155,2.0
156,2.0
157,2.0
158,2.0
159,2.0
160,2.0
161,2.0
162,3.0
163,3.0
164,3.0
165,5.0
166,7.0
167,6.0
168,3.0
169,3.0
170,3.0
171,3.0
172,2.0
173,2.0
174,2.0
175,2.0
176,2.0
177,2.0
178,2.0
179,2.0
180,3.0
181,3.0
182,3.0
183,3.0
184,5.0
185,5.0
186,6.0
187,2.0
188,2.0
189,2.0
190,2.0
191,2.0
192,2.0
193,2.0
194,2.0
195,2.0
196,2.0
197,2.0
198,2.0
199,3.0
200,3.0
201,3.0
202,3.0
203,3.0
204,5.0
205,6.0
206,2.0
207,2.0
208,2.0
209,2.0
210,2.0
211,2.0
212,3.0
213,3.0
214,2.0
215,2.0
216,2.0
217,2.0
218,3.0
219,5.0
220,5.0
221,5.0
222,5.0
223,6.0
224,5.0
225,2.0
226,2.0
227,2.0
228,2.0
229,2.0
230,3.0
231,3.0
232,3.0
233,3.0
234,3.0
235,3.0
236,2.0
237,3.0
238,3.0
239,6.0
240,6.0
241,6.0
242,6.0
243,5.0
244,2.0
245,3.0
246,3.0
247,3.0
248,3.0
249,3.0
250,5.0
251,5.0
252,5.0
253,5.0
254,3.0
255,3.0
256,6.0
257,6.0
258,6.0
259,6.0
260,6.0
261,2.0
262,3.0
263,3.0
264,3.0
265,5.0
266,5.0
267,5.0
268,5.0
269,6.0
270,6.0
271,6.0
272,5.0
273,5.0
274,6.0
275,6.0
276,6.0
277,6.0
278,3.0
279,3.0
280,3.0
281,6.0
282,6.0
283,6.0
284,6.0
285,6.0
286,6.0
287,6.0
288,6.0
289,5.0
290,5.0
291,5.0
292,6.0
293,3.0
294,3.0
295,3.0
296,6.0
297,6.0
298,6.0
299,6.0
300,6.0
301,6.0
302,6.0
303,6.0
304,5.0
305,5.0
306,6.0
307,5.0
308,6.0
309,6.0
310,6.0
311,6.0
312,6.0
313,6.0
314,6.0
315,6.0
