,profile_curvature
0,-6.710288e-08
1,-1.2890575e-07
2,-3.7277186e-08
3,-5.844434e-08
4,-1.313648e-07
5,-2.1065598e-07
6,-3.9625903e-07
7,-5.708977e-07
8,-5.320549e-07
9,-4.2982774e-07
10,-2.5096003e-07
11,-2.4050084e-07
12,-1.1709018e-07
13,-4.8632238e-08
14,-7.449248e-08
15,-1.4987063e-07
16,-2.48891e-07
17,-3.9962188e-07
18,-4.847703e-07
19,-4.5121394e-07
20,-3.3392772e-07
21,-2.3851513e-07
22,-1.606607e-07
23,-1.5776462e-07
24,-1.9052789e-07
25,-1.7325661e-07
26,-1.0393324e-07
27,-7.182372e-08
28,-8.989227e-08
29,-1.0448298e-07
30,-1.0234849e-07
31,-1.28513e-07
32,-1.5809326e-07
33,-1.4123583e-07
34,-6.878441e-08
35,2.6760233e-08
36,1.206541e-07
37,2.7603275e-07
38,-1.3870506e-07
39,-1.3594313e-07
40,-1.9234463e-07
41,-1.4736511e-07
42,-8.0913885e-08
43,-6.7429234e-08
44,-8.469552e-08
45,-6.067314e-08
46,3.1982608e-09
47,7.2719665e-08
48,1.5241534e-07
49,2.6391683e-07
50,4.2192823e-07
51,6.25359e-07
52,9.327795e-07
53,1.4913852e-06
54,2.3222017e-06
55,-1.0966861e-07
56,-1.00573445e-07
57,-1.6650677e-07
58,-1.366594e-07
59,-6.4074335e-08
60,-3.8341426e-08
61,-4.3995392e-08
62,-3.716082e-08
63,4.6836536e-08
64,1.5804694e-07
65,2.950178e-07
66,5.5849995e-07
67,1.0382396e-06
68,1.9291417e-06
69,4.224517e-06
70,1.0912418e-05
71,2.766062e-05
72,2.6106367e-08
73,-4.6927195e-08
74,-8.5990955e-08
75,-1.5615832e-07
76,-1.2917458e-07
77,-6.514627e-08
78,-2.7101862e-08
79,-1.775162e-08
80,-2.2631738e-08
81,1.7703643e-08
82,7.729043e-08
83,1.8820047e-07
84,4.3705154e-07
85,9.3011414e-07
86,1.6896631e-06
87,2.984178e-06
88,-1.4852257e-05
89,0.00026599443
90,8.623065e-05
91,8.112883e-08
92,-8.529807e-09
93,-6.31002e-08
94,-1.08920695e-07
95,-9.2875986e-08
96,-4.3589658e-08
97,1.1974196e-08
98,5.0817054e-08
99,1.00879596e-07
100,1.9163372e-07
101,2.7633828e-07
102,4.11989e-07
103,5.6730306e-07
104,1.12194556e-07
105,-2.2627605e-06
106,-2.3451598e-06
107,5.3927706e-06
108,5.913959e-06
109,3.4257582e-06
110,2.9616636e-08
111,-3.848011e-08
112,-5.8959138e-08
113,-6.0348675e-08
114,-3.4836447e-08
115,8.9441885e-09
116,8.3542346e-08
117,1.8228198e-07
118,3.9347398e-07
119,8.577458e-07
120,1.5006568e-06
121,1.9253587e-06
122,-1.23710535e-08
123,-9.569161e-07
124,1.8909033e-06
125,2.0664002e-06
126,1.5974786e-06
127,1.1784299e-06
128,8.1518573e-07
129,-6.769082e-08
130,-7.602813e-08
131,-4.6419768e-08
132,7.591268e-09
133,7.599741e-08
134,1.529517e-07
135,2.9142635e-07
136,6.018707e-07
137,1.5179899e-06
138,4.799035e-06
139,1.1358811e-05
140,5.0928584e-06
141,3.3302904e-06
