,TWI_raster
0,-12.952117
1,-14.330115
2,-15.517762
3,-16.442205
4,-14.731547
5,-15.591874
6,-13.90081
7,-14.488344
8,-15.342564
9,-14.199791
10,-13.219612
11,-16.073492
12,-11.820858
13,-10.346859
14,-9.179672
15,-12.181255
16,-13.3595295
17,-13.041397
18,-11.5227995
19,-11.950291
20,-13.005916
21,-12.5734825
22,-13.63116
23,-13.857454
24,-14.130505
25,-14.696906
26,-16.412754
27,-14.441203
28,-14.707265
29,-16.234734
30,-15.113662
31,-12.719109
32,-14.707983
33,-12.692404
34,-10.345619
35,-14.8219385
36,-15.678982
37,-15.874507
38,-13.815719
39,-13.552644
40,-16.364334
41,-14.3845005
42,-13.51419
43,-15.9032955
44,-14.735767
45,-12.646638
46,-14.200909
47,-16.181871
48,-13.092745
49,-14.721079
50,-14.551641
51,-14.791676
52,-11.7622175
53,-11.673111
54,-13.455176
55,-14.984638
56,-16.097464
57,-15.275824
58,-14.147458
59,-13.8572445
60,-12.305336
61,-12.514731
62,-11.526762
63,-13.801827
64,-16.386517
65,-15.00883
66,-12.62269
67,-11.337329
68,-15.162449
69,-15.704025
70,-15.450505
71,-15.416254
72,-14.135794
73,-14.781453
74,-15.120663
75,-15.120824
76,-14.983679
77,-15.144723
78,-14.893734
79,-14.843288
80,-14.885228
81,-13.114992
82,-10.1960125
83,-10.674518
84,-14.7464485
85,-14.438039
86,-13.226283
87,-15.450282
88,-13.592406
89,-13.673896
90,-15.318429
91,-13.487628
92,-12.803671
93,-12.9555235
94,-11.626607
95,-11.616788
96,-11.5805435
97,-10.91392
98,-10.965175
99,-14.912873
100,-13.322318
101,-11.971862
102,-14.96439
103,-15.606075
104,-14.105927
105,-10.578354
106,-13.681169
107,-14.650482
108,-12.7885
109,-14.458228
110,-12.800956
111,-12.517909
112,-13.360032
113,-13.51198
114,-11.865161
115,-11.682359
116,-16.275848
117,-16.742096
118,-14.012566
119,-14.972745
120,-13.423587
121,-14.901316
122,-16.02441
123,-15.149143
124,-15.252476
125,-11.041324
126,-13.549907
127,-16.260605
128,-12.125368
129,-9.954535
130,-8.525309
131,-10.248403
132,-12.054257
133,-11.430188
134,-12.591074
135,-13.591274
136,-12.815524
137,-11.651579
138,-11.884627
139,-13.114589
140,-14.641919
141,-15.655511
142,-11.777894
143,-14.092965
144,-14.894446
145,-12.858799
146,-15.956899
147,-15.261905
148,-12.941951
149,-10.809269
150,-13.601859
151,-14.76268
152,-16.385199
153,-14.316254
154,-11.978926
155,-11.005865
156,-12.342075
157,-14.213969
158,-15.885947
159,-15.980431
160,-12.407795
161,-11.626168
162,-15.330854
163,-16.163532
164,-15.974097
165,-16.5102
166,-12.20763
167,-13.116509
168,-9.989663
169,-11.832808
170,-10.586165
171,-13.633753
172,-15.112688
173,-16.79071
174,-13.887427
175,-12.11259
176,-13.66167
177,-13.950421
178,-16.023487
179,-14.940225
180,-14.13285
181,-11.907762
182,-10.348094
183,-15.343219
184,-14.530137
185,-14.118091
186,-14.779656
187,-13.4903345
188,-14.800806
189,-13.9696245
190,-14.9204035
191,-14.664815
192,-13.145909
193,-12.589107
194,-12.002688
195,-14.239127
196,-13.556707
197,-11.823979
198,-11.911612
199,-12.6365385
200,-13.792451
201,-14.922596
202,-14.795685
203,-13.92679
204,-12.923351
205,-14.675802
206,-13.403467
207,-12.332588
208,-11.751268
209,-13.118461
210,-10.942382
211,-10.773364
212,-11.357752
213,-10.776457
214,-11.899961
215,-12.088579
216,-11.678071
217,-14.043421
218,-11.400856
219,-12.343094
220,-11.197467
221,-15.144197
222,-15.056253
223,-12.20494
224,-12.614162
225,-12.594325
226,-14.026557
227,-15.2245865
228,-15.276514
229,-14.375981
230,-9.954032
231,-13.586201
232,-15.572583
233,-15.353734
234,-11.054992
235,-10.394839
236,-14.443174
237,-16.717493
238,-14.493305
239,-10.416607
240,-10.202282
241,-10.406982
242,-10.878544
243,-15.936749
244,-8.862737
245,-11.3966055
246,-12.57097
247,-12.348957
248,-11.700152
249,-12.7276125
250,-15.1515465
251,-11.8798685
252,-11.48538
253,-12.29689
254,-13.844635
255,-15.207743
256,-16.079826
257,-12.116749
258,-11.102719
259,-11.429907
260,-13.15338
261,-15.238274
262,-16.399784
263,-14.17019
264,-11.646217
265,-9.020418
266,-12.5941925
267,-13.837363
268,-16.42081
269,-15.045841
270,-11.254122
271,-10.417087
272,-12.57925
273,-12.310116
274,-14.668492
275,-13.730054
276,-12.537525
277,-12.61814
278,-15.259888
279,-15.926596
280,-12.857516
281,-15.081272
282,-14.878666
283,-16.333054
284,-17.034782
285,-13.797818
286,-9.54295
287,-12.779079
288,-15.249784
289,-12.387805
290,-9.392225
291,-14.508675
292,-14.867909
293,-14.725689
294,-16.165768
295,-14.727759
296,-11.8892565
297,-9.720569
298,-12.491673
299,-13.952498
300,-13.826229
301,-14.428906
302,-13.001832
