,distance_stream_downstream
0,13027.403
1,13188.605
2,13349.808
3,13502.239
4,13552.825
5,13502.239
6,16870.791
7,16820.205
8,16557.744
9,16608.334
10,16658.93
11,24421.049
12,24370.463
13,24421.049
14,24370.463
15,24319.871
16,24370.457
17,23433.0
18,23271.797
19,23110.596
20,23271.797
21,23110.592
22,23161.182
23,22465.627
24,22304.418
25,22253.832
26,22203.242
27,22253.828
28,22415.031
29,22253.799
30,22092.598
31,22042.012
32,24239.695
33,24189.11
34,24138.52
35,24189.105
36,25539.18
37,25377.977
38,25327.39
39,25488.594
40,25327.387
41,25377.98
42,25428.566
43,25580.436
44,26870.424
45,26819.838
46,26870.424
47,28321.678
48,28271.092
49,28109.883
50,27948.676
51,28321.666
52,28160.463
53,27999.262
54,27948.676
55,28109.877
56,28160.469
57,28321.678
58,28482.879
59,28321.701
60,28271.115
61,30206.166
62,30044.965
63,29883.762
64,29833.176
65,29883.762
66,29833.176
67,29883.762
68,29934.352
69,30095.555
70,30256.756
71,30417.977
72,30579.186
73,33180.215
74,33129.63
75,33180.22
76,33230.805
77,33392.008
78,33553.21
79,33643.39
80,33592.8
81,33643.39
82,33693.977
83,12795.835
84,12745.242
85,12795.835
86,13270.671
87,13220.081
88,13270.671
89,13321.264
90,16911.066
91,16749.852
92,16588.637
93,16538.047
94,16588.637
95,16326.18
96,16275.59
97,16326.18
98,16376.776
99,16537.99
100,24300.11
101,24138.896
102,24088.307
103,24138.896
104,24088.303
105,24138.896
106,23201.45
107,23040.242
108,22879.027
109,22828.438
110,22879.027
111,22828.434
112,22344.682
113,22183.473
114,22022.264
115,21971.676
116,22022.264
117,21971.676
118,22022.264
119,21861.033
120,21810.443
121,21861.033
122,21911.627
123,23957.541
124,23906.953
125,23957.541
126,23745.725
127,23695.135
128,23745.725
129,25468.842
130,25307.627
131,25146.412
132,25095.824
133,25146.412
134,25095.82
135,25146.412
136,25399.457
137,25348.87
138,25399.457
139,26588.271
140,26537.682
141,26588.271
142,28039.523
143,27878.314
144,27717.107
145,27666.518
146,27717.107
147,27666.518
148,27717.107
149,27878.314
150,28039.523
151,27878.334
152,27827.744
153,27878.334
154,28039.549
155,29440.355
156,29389.764
157,29652.197
158,29601.61
159,29652.197
160,29601.61
161,29652.197
162,29813.406
163,29974.615
164,30135.822
165,30297.031
166,30700.137
167,32948.652
168,32898.062
169,32948.652
170,33109.86
171,33271.07
172,33573.03
173,33411.824
174,33361.234
175,33411.824
176,33361.23
177,33411.824
178,12463.085
179,12513.678
180,12674.893
181,13039.106
182,12988.514
183,13039.106
184,13200.321
185,17193.236
186,17032.016
187,16628.908
188,16467.693
189,16306.4795
190,15942.829
191,15993.422
192,16044.022
193,15993.429
