,profile_curvature
0,3.1332434e-05
1,0.00021591184
2,0.00027220184
3,-4.620374e-05
4,-3.4141126e-06
5,-5.9170798e-06
6,-2.2345082e-05
7,-2.3314175e-05
8,-2.2747358e-06
9,-7.2035755e-07
10,-0.00016531866
11,-0.00044715372
12,0.0007179747
13,0.0003276316
14,3.61894e-05
15,7.019856e-06
16,-7.324387e-08
17,-4.0153645e-06
18,-1.3757617e-05
19,-3.511264e-05
20,-0.000117933196
21,-0.0016549742
22,-0.0022930563
23,-0.0003455489
24,-0.000113441274
25,-5.1438547e-05
26,-2.7415497e-05
27,-1.4813938e-05
28,-7.258756e-06
29,-1.2566231e-06
30,9.365978e-06
31,4.6490135e-05
32,9.435817e-05
33,-0.00014834761
34,-0.0001051785
35,2.5862076e-07
36,7.3892106e-06
37,-1.8966803e-05
38,-8.4459556e-05
39,-0.00014167471
40,-0.00016781755
41,-0.00027985487
42,-0.0012971029
43,-0.003133849
44,-0.0011211326
45,-0.0003344248
46,-0.00012110247
47,-0.00011275744
48,-0.0003727276
49,-0.00029013638
50,-8.6680535e-05
51,-1.4495401e-05
52,1.23938735e-05
53,0.00010867499
54,0.0009647141
55,0.2462026
56,0.00030455185
57,2.9937513e-05
58,-1.14851355e-05
59,-2.5610636e-05
60,-1.7432856e-05
61,-4.671069e-09
62,-7.6451666e-05
63,-0.00015286656
64,-6.381758e-05
65,-7.254471e-05
66,-1.3221342e-05
67,3.205042e-05
68,9.975464e-05
69,8.6884e-05
70,3.835512e-05
71,1.2700624e-05
72,2.5866902e-06
73,-1.862797e-06
74,-8.266276e-06
75,-1.3053896e-05
76,-1.2808987e-05
77,-1.2321155e-05
78,-1.2096018e-05
79,-1.2381307e-05
80,-1.46085695e-05
81,-2.029047e-05
82,-2.9144265e-05
83,-4.2673128e-05
84,-6.449383e-05
85,-0.000102852406
86,-9.0827474e-05
87,-8.573036e-05
88,-8.996425e-05
89,-6.5653476e-05
90,-4.383091e-05
91,-3.2592194e-05
92,-3.1635045e-05
93,-4.1177966e-05
94,-6.1192506e-05
95,-0.00010759298
96,-0.00020215356
97,-0.00051301497
98,-0.001970797
99,-0.0070263008
100,-0.0015473373
101,-0.00034175828
102,-0.00016010996
103,-9.763402e-05
104,-0.00020173204
105,-0.00018766431
106,-4.093328e-05
107,1.3686752e-05
108,6.761709e-06
109,9.289102e-06
110,1.3753093e-05
111,1.3232177e-05
112,1.1394551e-05
113,6.861317e-06
114,2.8890697e-06
115,1.4788466e-06
116,2.3097193e-06
117,3.200426e-06
118,4.166561e-06
119,6.777857e-06
120,3.913226e-06
121,1.0206809e-05
122,3.6327594e-05
123,4.3609776e-05
124,-5.932996e-06
125,-2.239254e-05
126,-2.0937416e-05
127,-2.1633703e-05
128,-1.9133347e-05
129,-1.6705457e-05
130,5.691746e-05
131,0.00037344886
132,5.5283046e-05
133,-2.1638327e-05
134,3.352349e-06
135,-6.9579232e-06
136,-1.4560289e-05
137,-2.7511904e-05
138,-1.8332452e-05
139,-1.5801334e-05
140,4.340403e-05
141,0.00026598922
142,0.03683945
143,0.001710964
144,7.305617e-05
145,1.0592683e-05
146,1.3185047e-06
147,-1.7288379e-06
148,-9.896518e-06
149,-2.8448945e-05
150,-8.972167e-05
151,-0.0007415081
152,-0.0007800674
153,-0.00054993364
154,-0.00015263681
155,-6.785421e-05
156,-3.464769e-05
157,-1.7438493e-05
158,-8.4927615e-06
159,-2.499158e-06
160,1.0340135e-05
161,6.3843574e-05
162,0.00022630072
163,0.0003520938
164,4.8424794e-05
165,9.557801e-05
166,1.8602623e-05
167,-1.1738653e-06
168,-1.6308564e-05
169,-0.00010920534
170,-0.00013682626
171,-0.00010357381
172,-0.0002176396
173,-0.004257524
174,-0.029806372
175,-0.0034851748
176,-0.00047022096
177,-0.00010257009
178,-0.00028926315
179,-0.0011915858
180,-0.00017855997
181,-3.7644462e-05
182,-7.570442e-06
183,2.6717233e-05
184,0.00012432729
185,0.00036435883
186,0.00014301912
187,2.06374e-05
188,-6.1476544e-06
189,-1.4315564e-05
190,-1.3665703e-05
191,-1.6121347e-05
192,-8.655192e-05
193,0.00017670741
194,-7.711415e-05
195,-6.1281185e-05
196,-1.762122e-05
197,7.179139e-06
198,2.7633765e-05
199,2.3514829e-05
200,8.700214e-06
201,-1.2376785e-06
202,-5.2682444e-06
203,-5.1284023e-06
204,-1.1099243e-05
