,slope
0,4.5073876
1,9.86223
2,4.560905
3,7.124719
4,6.4854565
5,3.400427
6,1.7280093
7,2.561948
8,4.787324
9,4.9221992
10,2.5234084
11,1.6393489
12,2.398444
13,3.2906005
14,1.3912586
15,0.13682166
16,0.1623962
17,0.1623962
18,0.13682166
19,2.0465043
20,2.2279553
21,0.73461205
22,1.2646455
23,2.54888
24,4.9615254
25,6.6025705
26,1.9632419
27,4.5304313
28,3.6253538
29,4.2912073
30,3.0745375
31,1.4344212
32,4.7776628
33,5.501957
34,0.71221155
35,3.8708882
36,6.8815074
37,3.194883
38,4.3524623
39,2.6239045
40,2.8081424
41,2.5293949
42,4.359965
43,4.534278
44,3.6768456
45,3.6678421
46,3.2542193
47,4.5882955
48,2.5875924
49,4.8651533
50,5.364199
51,4.841815
52,3.470979
53,4.3362117
54,3.914893
55,1.2914958
56,3.6645908
57,3.9010713
58,3.007875
59,4.478923
60,1.0453672
61,3.455281
62,6.416988
63,6.2699747
64,1.9889016
65,7.085131
66,3.6161554
67,2.910694
68,5.690134
69,4.8117566
70,4.2101727
71,3.0910933
72,2.6896133
73,2.803896
74,3.5298572
75,3.865947
76,4.162494
77,3.64525
78,2.6991181
79,2.2833588
80,2.258209
81,1.6641791
82,0.4814554
83,1.4919384
84,3.8160756
85,2.7489696
86,1.7014577
87,2.4256315
88,1.9722633
89,1.2369356
90,2.61615
91,3.2247908
92,1.3094674
93,0.52497685
94,0.3101819
95,0.20574383
96,0.6341337
97,0.5331065
98,1.4213667
99,1.4334192
100,0.84461486
101,0.84913164
102,1.0551866
103,1.8431317
104,0.3086141
105,2.9683278
106,2.8503716
107,0.40829453
108,1.2518982
109,1.0551866
110,1.1168865
111,1.4440943
112,0.41045874
113,2.1210215
114,3.4191363
115,2.5025504
116,8.566691
117,4.9137907
118,6.48205
119,4.5587225
120,2.8296883
121,5.2724743
122,3.1800597
123,7.9701543
124,3.6353567
125,1.5302223
126,0.8771122
127,1.3464782
128,2.3611772
129,2.0927696
130,0.20414662
131,0.16089533
132,0.0
133,0.35539666
134,2.4102614
135,1.6887994
136,0.46603504
137,1.1489654
138,2.9295046
139,5.148687
140,5.0648146
141,1.2105517
142,3.6384888
143,1.3186733
144,2.0150602
145,3.2501578
146,4.4302573
147,1.4689311
148,5.8392005
149,3.7643552
150,0.8640339
151,4.4474854
152,5.9114428
153,0.28187442
154,5.304901
155,3.6303089
156,1.1100168
157,2.4205458
158,4.8766813
159,0.73458624
160,4.4557366
161,0.562056
162,5.8722024
163,6.831774
164,0.4114796
165,4.062075
166,4.5000854
167,3.4662724
168,2.34932
169,3.198664
170,5.8259687
171,2.2444737
172,2.3394272
173,3.4432583
174,3.1962614
175,2.8171139
176,6.507453
177,6.055858
178,3.3621125
179,2.820102
180,7.0643907
181,4.467588
182,0.7236876
183,3.5043466
184,4.0760593
185,3.8708057
186,2.0907164
187,2.5330372
188,2.851978
189,3.1582081
190,3.170161
191,2.7978873
192,1.9486849
193,1.3727357
194,1.6030418
195,1.4808617
196,0.7626485
197,0.26289326
198,1.3382406
199,3.463146
200,1.7106622
201,2.0565498
202,1.8290033
203,1.3708296
204,0.89794403
205,2.5645115
206,2.5285017
207,0.9348636
208,0.2569291
209,0.1623921
210,0.13681677
211,0.5472515
212,0.66933036
213,1.6876675
214,1.1697031
215,1.0678728
216,0.50275165
217,1.5251592
218,0.42868185
219,2.5179586
220,2.476696
221,0.8643242
222,1.2454461
223,1.010868
224,0.7626485
225,1.2816051
226,2.0303342
227,2.0367568
228,1.096018
229,2.5322828
230,5.624249
231,8.088527
232,2.2886593
233,7.395975
234,2.2646286
235,0.6737729
236,6.7807717
237,2.9180796
238,6.057962
239,2.225632
240,5.472623
241,4.0500684
242,5.720957
243,6.119662
244,2.071066
245,3.4445074
246,3.921222
247,1.2574219
248,1.515272
249,1.5549468
250,0.2242592
251,0.12371268
252,0.27064538
253,0.59782964
254,2.3293495
255,1.1729972
256,0.823476
257,1.7650446
258,3.5498676
259,4.2786083
260,3.6035173
261,1.8129256
262,1.4659811
263,2.8296466
264,2.358185
265,1.5492179
266,4.2362876
267,3.549574
268,2.4361634
269,5.2759085
270,3.5733774
271,0.9791768
272,5.7935953
273,3.906853
274,4.144678
275,3.4663918
276,2.532188
277,0.6702346
278,6.1998954
279,2.2747223
280,5.493304
281,1.3099897
282,5.0694833
283,8.7724285
284,2.4701595
285,3.6564722
286,4.2872953
287,5.379362
288,2.598476
289,3.4315093
290,2.8558068
291,3.911003
292,1.8814441
293,0.9649782
294,0.20574108
295,4.985824
296,7.748176
297,2.95273
298,1.5426917
299,1.625144
300,5.5548115
301,5.7255573
302,2.0981598
303,1.0682178
304,2.8682773
305,4.19872
306,2.1037226
307,2.779658
308,2.498597
309,2.2619855
310,2.1523752
311,1.740379
312,1.507259
313,1.1314336
314,1.3384348
315,1.2091823
316,0.27064538
317,0.41147685
318,1.5789667
319,2.7227592
320,1.874069
321,1.5637541
322,1.144514
323,1.2654082
324,1.256226
325,2.3258457
326,1.7450156
327,0.53445446
328,0.10287087
329,0.10825883
330,0.18815179
331,0.27064538
332,0.70060515
333,2.0926917
334,0.95759594
335,0.8361833
336,1.507259
337,0.650982
338,2.1423802
339,2.3406172
340,0.7577685
341,1.269036
342,0.97319126
343,0.48267463
