,vector_ruggedness_measure
0,0.0036111167
1,0.0014109422
2,0.005751693
3,0.0020047878
4,0.00060110056
5,0.0016529611
6,0.0010618367
7,0.0012276564
8,0.0008382206
9,0.0003872531
10,0.00053955923
11,0.0002584605
12,0.0004630408
13,0.000115089206
14,0.00025986548
15,6.974221e-05
16,2.5221943e-06
17,1.17261706e-07
18,0.00012466218
19,0.00013719471
20,7.311725e-05
21,8.2386585e-05
22,9.283592e-05
23,0.00039017963
24,0.00044515662
25,0.0015479095
26,0.0029589436
27,0.0007737353
28,0.0008454333
29,9.918284e-05
30,0.00045137995
31,0.0015216366
32,0.0014759103
33,0.0008108043
34,0.002082391
35,0.0012250212
36,0.00051444204
37,0.002981933
38,0.0011579754
39,0.00045061822
40,0.00029422427
41,0.0006693234
42,0.00050692126
43,0.001319468
44,0.0014422147
45,0.0011480008
46,0.001692401
47,0.0007502272
48,0.0017444866
49,0.0008691775
50,0.00042518997
51,0.0001946738
52,0.0005360298
53,0.00014772585
54,0.0006675363
55,0.001535112
56,0.0007351751
57,0.0010405245
58,0.0016328738
59,0.0008440012
60,0.0016042845
61,0.0007392776
62,0.00030265245
63,0.002198692
64,0.004484785
65,0.0007143734
66,0.0024889528
67,0.002133713
68,0.00037096994
69,0.00029394764
70,0.00022900621
71,0.00019780555
72,1.1703256e-05
73,3.1354328e-05
74,4.741523e-05
75,6.238909e-05
76,7.227406e-05
77,5.9508217e-05
78,5.5212953e-05
79,9.843653e-06
80,3.052276e-05
81,9.0925714e-05
82,0.00023273726
83,0.00045673345
84,0.00013941745
85,0.00027207035
86,0.00030190308
87,6.512452e-05
88,4.359933e-05
89,0.00016926145
90,0.0002703678
91,0.00010339212
92,0.00020352766
93,2.9959496e-05
94,6.8870536e-06
95,1.8738514e-05
96,9.190685e-06
97,2.4819541e-05
98,2.7859058e-05
99,1.2668755e-05
100,1.34412085e-05
101,7.149245e-05
102,0.00015128934
103,7.389e-05
104,0.0005430562
105,0.00028477135
106,0.0003636157
107,0.00045692394
108,4.210864e-05
109,6.456556e-05
110,4.6256137e-05
111,4.1877844e-05
112,0.0003415476
113,0.00038464172
114,4.4711574e-05
115,0.0031434568
116,0.0013754526
117,0.0051771915
118,0.002017434
119,0.0014614065
120,0.0023014755
121,0.0016008503
122,0.0029850644
123,0.00091922015
124,0.0007590215
125,0.00042608715
126,0.00018104803
127,0.00033641286
128,0.00020916556
129,0.00022484758
130,0.000109219465
131,3.4718998e-06
132,2.950771e-06
133,0.00014945581
134,0.000124023
135,0.00012758182
136,9.300048e-05
137,0.00016847828
138,0.0004383079
139,0.00033284727
140,0.001457269
141,0.002567821
142,0.00068909983
143,0.00086230156
144,0.00037380986
145,0.00050008873
146,0.0014171564
147,0.0022061681
148,0.00071462657
149,0.001789465
150,0.0018510364
151,0.0007879546
152,0.002212739
153,0.0023700504
154,0.0007399634
155,0.0008025435
156,0.0010290702
157,0.00077106385
158,0.0010665216
159,0.0020457152
160,0.0011236131
161,0.002293006
162,0.0011884031
163,0.002079381
164,0.0025178748
165,0.0006914395
166,0.00018908431
167,0.00066979445
168,0.00038919447
169,0.0009192225
170,0.0014234171
171,0.0018517133
172,0.0010669085
173,0.0011376889
174,0.0011806355
175,0.002201314
176,0.0007014678
177,0.00030712574
178,0.0020701264
179,0.0035703892
180,0.0006565241
181,0.0020461306
182,0.0019835122
183,0.00048265184
184,0.00019085727
185,0.00027033096
186,0.0003398501
187,5.8751313e-05
188,3.7383503e-05
189,4.5339555e-05
190,5.7068202e-05
191,0.000118694676
192,0.00015132714
193,0.000108709675
194,5.753144e-05
195,5.9473525e-05
196,9.157237e-05
197,0.0001743152
198,0.00038303004
199,0.00016997496
200,0.00046656464
201,0.0002661223
202,8.0163074e-05
203,6.6273366e-05
204,0.00023079303
205,0.0002307629
206,0.00010158179
207,0.00018010843
208,2.6864844e-05
209,6.515817e-06
210,1.5524844e-05
211,8.679949e-06
212,3.470626e-05
213,3.0844178e-05
214,1.34541315e-05
215,3.3616143e-05
216,0.00012955721
217,0.00013193434
218,0.00030260667
219,0.00041531253
220,0.00023958697
221,0.00038910893
222,0.0002946967
223,3.1038697e-05
224,6.353197e-05
225,7.380052e-05
226,6.966368e-05
227,0.0003211783
228,0.0005225121
229,0.00021042112
230,0.003095535
231,0.0016543417
232,0.0051173503
233,0.0022269494
234,0.0024995953
235,0.0023953966
236,0.002328916
237,0.003152617
238,0.0010748324
239,0.0012742175
240,0.00082690635
241,0.00051740353
242,0.00037091147
243,0.00016442731
244,0.0001957347
245,9.981448e-05
246,4.30683e-06
247,8.355896e-06
248,0.00015868532
249,0.00012323698
250,0.00016004416
251,0.00010200415
252,0.0002407585
253,0.0003552855
254,0.0002844738
255,0.0011666855
256,0.0019380237
257,0.00066306756
258,0.0008460171
259,0.00074932235
260,0.000732264
261,0.0011891508
262,0.002344359
263,0.0013108994
264,0.0014145802
265,0.0023027968
266,0.0016028055
267,0.0017746587
268,0.0025740452
269,0.0011340753
270,0.0006388888
271,0.0009133712
272,0.0013708428
273,0.0012481596
274,0.002651122
275,0.0012597291
276,0.0025284716
277,0.0016742861
278,0.0020064102
279,0.0030855606
280,0.00083214213
281,0.00030307553
282,0.0011864363
283,0.0015247089
284,0.0015582021
285,0.0014906231
286,0.0015055831
287,0.001055016
288,0.00085824355
289,0.00138534
290,0.0023542515
291,0.0007346454
292,0.0008949354
293,0.0018683182
294,0.0028718677
295,0.00073751947
296,0.0015738988
297,0.001995119
298,0.0007850873
299,0.00031660593
300,0.00029795407
301,0.00051218783
302,0.0001257188
303,5.6526045e-05
304,7.375671e-05
305,0.000111653535
306,0.00016225241
307,0.00017509381
308,0.00012456714
309,7.571477e-05
310,7.858257e-05
311,9.3004164e-05
312,0.00014876938
313,0.00031754962
314,0.00022464887
315,0.00045510574
316,0.00021304369
317,0.00010995067
318,8.811344e-05
319,0.00023592079
320,0.00018456622
321,0.00011176507
322,0.00016040541
323,2.396397e-05
324,6.002792e-06
325,1.1594897e-05
326,8.62966e-06
327,5.5847453e-05
328,4.09755e-05
329,5.661149e-05
330,8.771978e-05
331,0.00011139556
332,0.00020464085
333,0.00035368424
334,0.00032624128
335,0.00031720116
336,0.00035269262
337,0.00021698866
338,4.5492186e-05
339,6.2423984e-05
340,0.00011204291
341,8.7817054e-05
342,0.0002717889
343,0.00055081025
344,0.00036914274
345,0.0009663059
346,0.0036986405
347,0.0060179974
348,0.0011237288
349,0.0018013017
350,0.0027692395
351,0.0016198204
352,0.0045157634
353,0.0019048215
354,0.0031662777
355,0.0016577548
356,0.0028225852
357,0.003390804
358,0.0022310824
359,0.002307575
360,0.00163766
361,0.0010415134
362,0.0006767684
363,0.00013366017
364,0.00010742138
365,8.6499866e-05
