,TWI_raster
0,-14.626113
1,-11.638842
2,-13.015377
3,-14.448455
4,-14.989642
5,-11.413159
6,-14.216779
7,-13.710271
8,-12.008584
9,-13.751533
10,-11.6734
11,-9.449415
12,-12.091734
13,-14.217385
14,-13.554755
15,-12.924579
16,-11.897977
17,-12.098816
18,-13.7460785
19,-11.654114
20,-11.455612
21,-13.136632
22,-10.72697
23,-14.454635
24,-13.775544
25,-12.891866
26,-11.017233
27,-9.013604
28,-10.884527
29,-10.672337
30,-11.47748
31,-10.8364
32,-11.812351
33,-12.64768
34,-10.650147
35,-10.256396
36,-12.594802
37,-10.7819395
38,-11.072716
39,-11.891332
40,-14.916514
41,-14.136459
42,-16.336842
43,-14.060558
44,-13.436623
45,-12.415703
46,-15.1359625
47,-14.7575655
48,-12.221995
49,-10.981903
50,-9.500923
51,-14.74576
52,-13.241734
53,-10.445341
54,-13.189296
55,-15.876442
56,-12.557889
57,-14.330704
58,-16.341597
59,-15.5557
60,-12.451224
61,-14.759824
62,-15.126411
63,-12.465421
64,-12.104731
65,-12.482934
66,-11.860825
67,-11.634119
68,-11.923603
69,-12.774979
70,-12.055746
71,-11.888844
72,-12.778396
73,-14.247188
74,-14.6411705
75,-16.299114
76,-14.600242
77,-12.952117
78,-14.330115
79,-15.517762
80,-16.442205
81,-14.731547
82,-15.591874
83,-13.90081
84,-14.488344
85,-15.342564
86,-14.199791
87,-13.219612
88,-16.073492
89,-11.820858
90,-10.346859
91,-9.179672
92,-12.181255
93,-13.3595295
94,-13.041397
95,-11.5227995
96,-11.950291
97,-13.005916
98,-12.5734825
99,-13.63116
100,-13.857454
101,-14.130505
102,-14.696906
103,-16.412754
104,-14.441203
105,-14.707265
106,-16.234734
107,-15.113662
108,-12.719109
109,-14.707983
110,-12.692404
111,-10.345619
112,-14.8219385
113,-15.678982
114,-15.874507
115,-13.815719
116,-13.552644
117,-16.364334
118,-14.3845005
119,-13.51419
120,-15.9032955
121,-14.735767
122,-12.646638
123,-14.200909
124,-16.181871
125,-13.092745
126,-14.721079
127,-14.551641
128,-14.791676
129,-11.7622175
130,-11.673111
131,-13.455176
132,-14.984638
133,-16.097464
134,-15.275824
135,-14.147458
136,-13.8572445
137,-12.305336
138,-12.514731
139,-11.526762
140,-13.801827
141,-16.386517
142,-15.00883
143,-12.62269
144,-11.337329
145,-15.162449
146,-15.704025
147,-15.450505
148,-15.416254
149,-14.135794
150,-14.781453
151,-15.120663
152,-15.120824
153,-14.983679
154,-15.144723
155,-14.893734
156,-14.843288
157,-14.885228
158,-13.114992
159,-10.1960125
160,-10.674518
161,-14.7464485
162,-14.438039
163,-13.226283
164,-15.450282
165,-13.592406
166,-13.673896
167,-15.318429
168,-13.487628
169,-12.803671
170,-12.9555235
171,-11.626607
172,-11.616788
173,-11.5805435
174,-10.91392
175,-10.965175
176,-14.912873
177,-13.322318
178,-11.971862
179,-14.96439
180,-15.606075
181,-14.105927
182,-10.578354
183,-13.681169
184,-14.650482
185,-12.7885
186,-14.458228
187,-12.800956
188,-12.517909
189,-13.360032
190,-13.51198
191,-11.865161
192,-12.64516
193,-11.768419
194,-14.355424
195,-14.873894
196,-14.458314
197,-13.047161
198,-10.919992
199,-13.898667
200,-14.873837
201,-14.180582
202,-12.294014
203,-13.655733
204,-11.920501
205,-14.4112625
206,-15.279171
207,-12.576939
208,-14.21989
209,-14.344997
210,-13.308839
211,-11.266511
212,-12.314471
213,-14.180634
214,-10.914548
215,-13.041733
216,-14.832863
217,-13.143783
218,-13.42261
219,-12.340104
220,-13.041044
221,-11.244743
222,-11.694418
223,-11.454146
224,-14.269874
225,-13.726197
226,-13.995104
227,-12.537565
228,-10.846891
229,-9.8387985
230,-10.431201
231,-11.598066
232,-11.972286
233,-13.682752
234,-14.491876
235,-14.589696
236,-11.226325
237,-12.864159
238,-12.811233
239,-12.135724
240,-12.338625
241,-15.836975
242,-14.6615095
243,-14.064381
244,-15.19595
245,-15.285186
246,-14.390247
247,-14.314639
248,-10.814648
249,-9.450629
250,-15.356065
251,-13.863486
252,-9.706569
253,-13.025857
254,-16.254902
255,-13.896613
256,-12.568155
257,-13.987257
258,-16.192713
259,-13.244683
260,-12.02489
261,-12.185449
262,-14.544331
263,-16.067513
264,-14.653645
265,-10.59113
266,-13.099631
267,-15.765687
268,-14.3778925
269,-11.840317
270,-13.196903
271,-10.8892565
272,-12.257822
273,-11.561575
274,-14.3628235
275,-14.363012
276,-13.6084795
277,-15.547595
278,-16.792921
279,-16.801548
280,-16.661247
281,-16.462666
282,-15.907165
283,-16.976965
284,-16.362314
285,-16.242865
286,-16.022377
287,-15.499883
288,-14.877621
289,-16.37287
290,-15.329718
291,-15.393782
292,-15.532568
293,-14.820383
294,-13.129139
295,-12.182697
296,-13.1644945
297,-16.154757
298,-15.760526
299,-15.589963
300,-16.927402
301,-16.139206
302,-15.516943
303,-13.701618
304,-12.285434
305,-11.851477
306,-12.443879
307,-12.517095
308,-11.963884
309,-12.063446
310,-13.295
311,-14.96076
312,-13.757036
313,-9.2801895
314,-11.589927
315,-12.015299
316,-11.244829
317,-13.36992
318,-14.170774
319,-14.793192
320,-16.02921
321,-15.202978
322,-12.06263
323,-12.251851
324,-15.564822
325,-15.164857
326,-10.971883
327,-10.140692
328,-11.650626
329,-12.142773
330,-13.456555
331,-16.27719
332,-15.699175
333,-12.3632965
334,-12.155438
335,-14.992578
336,-11.039884
337,-12.290846
338,-14.671822
339,-15.398288
340,-14.253422
341,-15.803827
342,-12.338544
343,-12.070529
344,-11.459204
345,-10.820045
346,-11.2015085
347,-13.146771
348,-16.049011
349,-15.615278
350,-15.459765
351,-15.709194
352,-12.675708
353,-12.626674
354,-11.682359
355,-16.275848
356,-16.742096
357,-14.012566
358,-14.972745
359,-13.423587
360,-14.901316
361,-16.02441
362,-15.149143
363,-15.252476
364,-11.041324
365,-13.549907
366,-16.260605
367,-12.125368
368,-9.954535
369,-8.525309
370,-10.248403
371,-12.054257
372,-11.430188
373,-12.591074
374,-13.591274
375,-12.815524
376,-11.651579
377,-11.884627
378,-13.114589
379,-14.641919
380,-15.655511
381,-11.777894
382,-14.092965
383,-14.894446
384,-12.858799
385,-15.956899
386,-15.261905
387,-12.941951
388,-10.809269
389,-13.601859
390,-14.76268
391,-16.385199
392,-14.316254
393,-11.978926
394,-11.005865
395,-12.342075
396,-14.213969
397,-15.885947
398,-15.980431
399,-12.407795
400,-11.626168
401,-15.330854
402,-16.163532
403,-15.974097
404,-16.5102
405,-12.20763
406,-13.116509
407,-9.989663
408,-11.832808
409,-10.586165
410,-13.633753
411,-15.112688
412,-16.79071
413,-13.887427
414,-12.11259
415,-13.66167
416,-13.950421
417,-16.023487
418,-14.940225
419,-14.13285
420,-11.907762
421,-10.348094
422,-15.343219
423,-14.530137
424,-14.118091
425,-14.779656
426,-13.4903345
427,-14.800806
428,-13.9696245
429,-14.9204035
430,-14.664815
431,-13.145909
432,-12.589107
433,-12.002688
434,-14.239127
435,-13.556707
436,-11.823979
437,-11.911612
438,-12.6365385
439,-13.792451
440,-14.922596
441,-14.795685
442,-13.92679
443,-12.923351
444,-14.675802
445,-13.403467
446,-12.332588
447,-11.751268
448,-13.118461
449,-10.942382
450,-10.773364
451,-11.357752
452,-10.776457
453,-11.899961
454,-12.088579
455,-11.678071
456,-14.043421
457,-11.400856
458,-12.343094
459,-11.197467
460,-15.144197
461,-15.056253
462,-12.20494
463,-12.614162
464,-12.594325
465,-14.026557
466,-15.2245865
467,-15.276514
468,-14.375981
469,-14.151238
470,-11.531603
471,-10.297035
472,-14.52184
473,-13.488903
474,-11.380503
475,-13.861795
476,-13.340144
477,-14.985026
478,-13.944275
479,-14.55104
480,-14.339961
481,-11.539057
482,-13.975357
483,-14.092871
484,-13.271662
485,-12.1418
486,-10.625204
487,-13.764275
488,-10.653019
489,-9.280059
490,-13.431171
491,-13.307915
492,-13.972686
493,-14.363192
494,-12.588021
495,-11.51881
496,-11.635895
497,-11.543333
498,-12.515357
499,-11.493962
500,-13.508233
501,-15.368485
502,-12.765364
503,-12.716146
504,-12.03465
505,-11.033048
506,-11.791157
507,-13.500554
508,-15.118189
509,-15.898969
510,-14.621532
511,-15.893527
512,-16.350935
513,-15.74739
514,-12.614085
515,-13.150292
516,-13.080201
517,-13.500019
518,-16.229933
519,-13.527185
520,-10.915629
521,-9.468617
522,-10.01548
523,-12.406151
524,-12.355783
525,-11.734882
526,-10.757781
527,-9.149048
528,-11.993592
529,-15.219351
530,-16.31597
531,-16.193048
532,-12.007284
533,-11.211577
534,-14.072019
535,-16.37705
536,-15.890102
537,-12.786957
538,-10.4855175
539,-13.25189
540,-14.481247
541,-16.281252
542,-13.062434
543,-12.924695
544,-15.03565
545,-14.319582
546,-13.082587
547,-15.250896
548,-14.871053
549,-12.122723
550,-11.066381
551,-9.314706
552,-14.066627
553,-11.67574
554,-16.404081
555,-17.486984
556,-17.508564
557,-17.346352
558,-16.927177
559,-16.296219
560,-16.181177
561,-17.051632
562,-17.299929
563,-16.634342
564,-16.259138
565,-15.142204
566,-14.834897
