,ground_failure_estimate_cropped
0,0.0005620325
1,0.00057327887
2,0.0005856284
3,0.00058717944
4,0.0005844159
5,0.0005817232
6,0.0005860179
7,0.00060446176
8,0.0006092527
9,0.0005914949
10,0.0005717866
11,0.00059626694
12,0.00059022923
13,0.0005750658
14,0.00056939985
15,0.000574698
16,0.000568863
17,0.000559487
18,0.00055915787
19,0.0005189032
20,0.00053702295
21,0.0005446006
22,0.00055347267
23,0.00055196334
24,0.0005625927
25,0.0005658327
26,0.0005556856
27,0.0005420231
28,0.0
29,0.0
30,0.0005403729
31,0.0005401544
32,0.0005239567
33,0.00052616344
34,0.00052960566
35,0.0005639479
36,0.0
37,0.0
38,0.0005692114
39,0.0005881498
40,0.000545639
41,0.00054721505
42,0.00054148637
43,0.000556628
44,0.0005563919
45,0.00055123965
46,0.0005518565
47,0.00056085765
48,0.0005593348
49,0.0005489087
50,0.0005479108
51,0.00054963306
52,0.00056544394
53,0.0005742178
54,0.00057160214
55,0.000551572
56,0.0005521429
57,0.00055630493
58,0.00056109857
59,0.0005509033
60,0.00054819544
61,0.0005417993
62,0.0005500917
63,0.00056886475
64,0.0005703748
65,0.0005656674
66,0.00055243267
67,0.0
68,0.00055109593
69,0.0005407174
70,0.00054704567
71,0.0005318596
72,0.0005359639
73,0.0005392469
74,0.0005367596
75,0.00056233566
76,0.00054218824
77,0.0005477813
78,0.00055712316
79,0.0005447618
80,0.0005651225
81,0.00057454477
82,0.0005644804
83,0.0005367391
84,0.00057630654
85,0.0005545604
86,0.00055423216
87,0.00054982875
88,0.0005487566
89,0.0005620828
90,0.0005760721
91,0.00056527636
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0005436096
100,0.0005502774
101,0.00056366436
102,0.000570956
103,0.00056335825
104,0.00054104446
105,0.00054463034
106,0.0005437654
107,0.00056744146
108,0.00056807697
109,0.0005771395
110,0.0005761465
111,0.0005773165
112,0.00060090364
113,0.0005907625
114,0.0005788393
115,0.00058056787
116,0.0005758709
117,0.0005781207
118,0.00057734916
119,0.00060913677
120,0.00060717604
121,0.000576752
122,0.0005750435
123,0.0005783284
124,0.0006310917
125,0.00056168373
126,0.0005595174
127,0.00055249484
128,0.0005465889
129,0.00054304476
130,0.00054383837
131,0.00054757734
132,0.00054716837
133,0.0005474653
134,0.00054988003
135,0.00058004033
136,0.00057561556
137,0.0005690668
138,0.0005682232
139,0.0005489626
140,0.0005502324
141,0.0005413329
142,0.00054324244
143,0.00056299503
144,0.0005584696
145,0.0005669343
146,0.0005574689
147,0.00054773956
148,0.0005486147
149,0.00055872847
150,0.0005584648
151,0.0005574081
152,0.00055111287
153,0.000562552
154,0.00057220325
155,0.0005799197
156,0.00059014716
157,0.0005922243
158,0.00057986117
159,0.0005577733
160,0.0005806897
161,0.0005817515
