,pga_contour_raster_cropped
0,0.08
1,0.08
2,0.08
3,0.08
4,0.08
5,0.08
6,0.08
7,0.08
8,0.08
9,0.08
10,0.08
11,0.08
12,0.08
13,0.08
14,0.08
15,0.08
16,0.08
17,0.08
18,0.08
19,0.08687073
20,0.08687073
21,0.08687073
22,0.08687073
23,0.08687073
24,0.09408591
25,0.09408591
26,0.09408591
27,0.09408591
28,0.09408591
29,0.1
30,0.1
31,0.1
32,0.1
33,0.1
34,0.1
35,0.1
36,0.1
37,0.1
38,0.10025833
39,0.10025833
40,0.10025833
41,0.10025833
42,0.10025833
43,0.10453713
44,0.10453713
45,0.10453713
46,0.10453713
47,0.10453713
48,0.10854231
49,0.10854231
50,0.10854231
51,0.10854231
52,0.10854231
53,0.10928247
54,0.10928247
55,0.10928247
56,0.10928247
57,0.10928247
58,0.10906321
59,0.10906321
60,0.10906321
61,0.10906321
62,0.11501258
63,0.11501258
64,0.11501258
65,0.11501258
66,0.11501258
67,0.12
68,0.12
69,0.12
70,0.12
71,0.12
72,0.12
73,0.12
74,0.12
75,0.12
76,0.12
77,0.12049554
78,0.12049554
79,0.12049554
80,0.12049554
81,0.12049554
82,0.12124813
83,0.12124813
84,0.12124813
85,0.12124813
86,0.12090788
87,0.12090788
88,0.12090788
89,0.12090788
90,0.12090788
91,0.13341305
92,0.13341305
93,0.13341305
94,0.13341305
95,0.13341305
96,0.13468252
97,0.13468252
98,0.13468252
99,0.13468252
100,0.13468252
101,0.12968276
102,0.12968276
103,0.12968276
104,0.12968276
105,0.12968276
106,0.13607658
107,0.13607658
108,0.13607658
109,0.13607658
110,0.13648117
111,0.13648117
112,0.13648117
113,0.13648117
114,0.13648117
115,0.14104275
116,0.14104275
117,0.14104275
118,0.14104275
119,0.14104275
120,0.1431948
121,0.1431948
122,0.1431948
123,0.1431948
124,0.1431948
125,0.14012668
126,0.14012668
127,0.14012668
128,0.14012668
129,0.14012668
130,0.14
131,0.14
132,0.14
133,0.14
134,0.14
135,0.14
136,0.14
137,0.14
138,0.14
139,0.14
140,0.14
141,0.14
142,0.14
143,0.14
144,0.1359598
145,0.1359598
146,0.1359598
147,0.1359598
148,0.1359598
149,0.13069783
150,0.13069783
151,0.13069783
152,0.13069783
153,0.13069783
154,0.12729456
155,0.12729456
156,0.12729456
157,0.12729456
158,0.13283613
159,0.13283613
160,0.13283613
161,0.13283613
162,0.13283613
163,0.12773068
164,0.12773068
165,0.12773068
166,0.12773068
167,0.12773068
168,0.12711062
169,0.12711062
170,0.12711062
171,0.12711062
172,0.12711062
173,0.12580074
174,0.12580074
175,0.12580074
176,0.12580074
177,0.12580074
178,0.12031644
179,0.12031644
180,0.12031644
181,0.12031644
182,0.1235036
183,0.1235036
184,0.1235036
185,0.1235036
186,0.1235036
187,0.12168037
188,0.12168037
189,0.12168037
190,0.12168037
191,0.12168037
192,0.11852526
193,0.11852526
194,0.11852526
195,0.11852526
196,0.11852526
197,0.1155236
198,0.1155236
199,0.1155236
200,0.1155236
201,0.1155236
202,0.11217488
203,0.11217488
204,0.11217488
205,0.11217488
206,0.10952908
207,0.10952908
208,0.10952908
209,0.10952908
210,0.10952908
211,0.10831571
212,0.10831571
213,0.10831571
214,0.10831571
215,0.10831571
216,0.10356924
217,0.10356924
218,0.10356924
219,0.10356924
220,0.10356924
221,0.1
222,0.1
223,0.1
224,0.1
225,0.1
226,0.1
227,0.1
228,0.1
229,0.1
230,0.09737498
231,0.09737498
232,0.09737498
233,0.09737498
234,0.09737498
235,0.09354497
236,0.09354497
237,0.09354497
238,0.09354497
239,0.09354497
240,0.0903656
241,0.0903656
242,0.0903656
243,0.0903656
244,0.0903656
245,0.08682007
246,0.08682007
247,0.08682007
248,0.08682007
249,0.08352196
250,0.08352196
251,0.08352196
252,0.08352196
253,0.08352196
254,0.081085905
255,0.081085905
256,0.081085905
257,0.081085905
258,0.081085905
259,0.08
260,0.08
261,0.08
262,0.08
263,0.08
264,0.08
265,0.08
266,0.08
267,0.08
268,0.08
269,0.08
270,0.08
271,0.08
272,0.08
273,0.0790276
274,0.0790276
275,0.0790276
276,0.0790276
277,0.08
278,0.08
279,0.08
280,0.08
281,0.08
282,0.08
283,0.08
284,0.08
285,0.08
286,0.08
287,0.08
288,0.08
289,0.08
290,0.08
291,0.08
292,0.08
293,0.08
294,0.08
295,0.08
296,0.08687073
297,0.08687073
298,0.08687073
299,0.08687073
300,0.08687073
301,0.09408591
302,0.09408591
303,0.09408591
304,0.09408591
305,0.09408591
306,0.1
307,0.1
308,0.1
309,0.1
310,0.1
311,0.1
312,0.1
313,0.1
314,0.1
315,0.10025833
316,0.10025833
317,0.10025833
318,0.10025833
319,0.10025833
320,0.10453713
321,0.10453713
322,0.10453713
323,0.10453713
324,0.10453713
325,0.10854231
326,0.10854231
327,0.10854231
328,0.10854231
329,0.10854231
330,0.10928247
331,0.10928247
332,0.10928247
333,0.10928247
334,0.10928247
335,0.10906321
336,0.10906321
337,0.10906321
338,0.10906321
339,0.11501258
340,0.11501258
341,0.11501258
342,0.11501258
343,0.11501258
344,0.12
345,0.12
346,0.12
347,0.12
348,0.12
349,0.12
350,0.12
351,0.12
352,0.12
353,0.12
354,0.12049554
355,0.12049554
356,0.12049554
357,0.12049554
358,0.12049554
359,0.12124813
360,0.12124813
361,0.12124813
362,0.12124813
363,0.12090788
364,0.12090788
365,0.12090788
366,0.12090788
367,0.12090788
368,0.13341305
369,0.13341305
370,0.13341305
371,0.13341305
372,0.13341305
373,0.13468252
374,0.13468252
375,0.13468252
376,0.13468252
377,0.13468252
378,0.12968276
379,0.12968276
380,0.12968276
381,0.12968276
382,0.12968276
383,0.13607658
384,0.13607658
385,0.13607658
386,0.13607658
387,0.13648117
388,0.13648117
389,0.13648117
390,0.13648117
391,0.13648117
392,0.14104275
393,0.14104275
394,0.14104275
395,0.14104275
396,0.14104275
397,0.1431948
398,0.1431948
399,0.1431948
400,0.1431948
401,0.1431948
402,0.14012668
403,0.14012668
404,0.14012668
405,0.14012668
406,0.14012668
407,0.14
408,0.14
409,0.14
410,0.14
411,0.14
412,0.14
413,0.14
414,0.14
415,0.14
416,0.14
417,0.14
418,0.14
419,0.14
420,0.14
421,0.1359598
422,0.1359598
423,0.1359598
424,0.1359598
425,0.1359598
426,0.13069783
427,0.13069783
428,0.13069783
429,0.13069783
430,0.13069783
431,0.12729456
432,0.12729456
433,0.12729456
434,0.12729456
435,0.13283613
436,0.13283613
437,0.13283613
438,0.13283613
439,0.13283613
440,0.12773068
441,0.12773068
442,0.12773068
443,0.12773068
444,0.12773068
445,0.12711062
446,0.12711062
447,0.12711062
448,0.12711062
449,0.12711062
450,0.12580074
451,0.12580074
452,0.12580074
453,0.12580074
454,0.12580074
455,0.12031644
456,0.12031644
457,0.12031644
458,0.12031644
459,0.1235036
460,0.1235036
461,0.1235036
462,0.1235036
463,0.1235036
464,0.12168037
465,0.12168037
466,0.12168037
467,0.12168037
468,0.12168037
469,0.11852526
470,0.11852526
471,0.11852526
472,0.11852526
473,0.11852526
474,0.1155236
475,0.1155236
476,0.1155236
477,0.1155236
478,0.1155236
479,0.11217488
480,0.11217488
481,0.11217488
482,0.11217488
483,0.10952908
484,0.10952908
485,0.10952908
486,0.10952908
487,0.10952908
488,0.10831571
489,0.10831571
490,0.10831571
491,0.10831571
492,0.10831571
493,0.10356924
494,0.10356924
495,0.10356924
496,0.10356924
497,0.10356924
498,0.1
499,0.1
500,0.1
501,0.1
502,0.1
503,0.1
504,0.1
505,0.1
506,0.1
507,0.09737498
508,0.09737498
509,0.09737498
510,0.09737498
511,0.09737498
512,0.09354497
513,0.09354497
514,0.09354497
515,0.09354497
516,0.09354497
517,0.0903656
518,0.0903656
519,0.0903656
520,0.0903656
521,0.0903656
522,0.08682007
523,0.08682007
524,0.08682007
525,0.08682007
526,0.08352196
527,0.08352196
528,0.08352196
529,0.08352196
530,0.08352196
531,0.081085905
532,0.081085905
533,0.081085905
534,0.081085905
535,0.081085905
536,0.08
537,0.08
538,0.08
539,0.08
540,0.08
541,0.08
542,0.08
543,0.08
544,0.08
545,0.08
546,0.08
547,0.08
548,0.08
549,0.08
550,0.0790276
551,0.0790276
552,0.0790276
553,0.0790276
554,0.08
555,0.08
556,0.08
557,0.08
558,0.08
559,0.08
560,0.08
561,0.08
562,0.08
563,0.08
564,0.08
565,0.08
566,0.08
567,0.08
568,0.08
569,0.08
570,0.08
571,0.08
572,0.08
573,0.08687073
574,0.08687073
575,0.08687073
576,0.08687073
577,0.08687073
578,0.09408591
579,0.09408591
580,0.09408591
581,0.09408591
582,0.09408591
583,0.1
584,0.1
585,0.1
586,0.1
587,0.1
588,0.1
589,0.1
590,0.1
591,0.1
592,0.10025833
593,0.10025833
594,0.10025833
595,0.10025833
596,0.10025833
597,0.10453713
598,0.10453713
599,0.10453713
600,0.10453713
601,0.10453713
602,0.10854231
603,0.10854231
604,0.10854231
605,0.10854231
606,0.10854231
607,0.10928247
608,0.10928247
609,0.10928247
610,0.10928247
611,0.10928247
612,0.10906321
613,0.10906321
614,0.10906321
615,0.10906321
616,0.11501258
617,0.11501258
618,0.11501258
619,0.11501258
620,0.11501258
621,0.12
622,0.12
623,0.12
624,0.12
625,0.12
626,0.12
627,0.12
628,0.12
629,0.12
630,0.12
631,0.12049554
632,0.12049554
633,0.12049554
634,0.12049554
635,0.12049554
636,0.12124813
637,0.12124813
638,0.12124813
639,0.12124813
640,0.12090788
641,0.12090788
642,0.12090788
643,0.12090788
644,0.12090788
645,0.13341305
646,0.13341305
647,0.13341305
648,0.13341305
649,0.13341305
650,0.13468252
651,0.13468252
652,0.13468252
653,0.13468252
654,0.13468252
655,0.12968276
656,0.12968276
657,0.12968276
658,0.12968276
659,0.12968276
660,0.13607658
661,0.13607658
662,0.13607658
663,0.13607658
664,0.13648117
665,0.13648117
666,0.13648117
667,0.13648117
668,0.13648117
669,0.14104275
670,0.14104275
671,0.14104275
672,0.14104275
673,0.14104275
674,0.1431948
675,0.1431948
676,0.1431948
677,0.1431948
678,0.1431948
679,0.14012668
680,0.14012668
681,0.14012668
682,0.14012668
683,0.14012668
684,0.14
685,0.14
686,0.14
687,0.14
688,0.14
689,0.14
690,0.14
691,0.14
692,0.14
693,0.14
694,0.14
695,0.14
696,0.14
697,0.14
698,0.1359598
699,0.1359598
700,0.1359598
701,0.1359598
702,0.1359598
703,0.13069783
704,0.13069783
705,0.13069783
706,0.13069783
707,0.13069783
708,0.12729456
709,0.12729456
710,0.12729456
711,0.12729456
712,0.13283613
713,0.13283613
714,0.13283613
715,0.13283613
716,0.13283613
717,0.12773068
718,0.12773068
719,0.12773068
720,0.12773068
721,0.12773068
722,0.12711062
723,0.12711062
724,0.12711062
725,0.12711062
726,0.12711062
727,0.12580074
728,0.12580074
729,0.12580074
730,0.12580074
731,0.12580074
732,0.12031644
733,0.12031644
734,0.12031644
735,0.12031644
736,0.1235036
737,0.1235036
738,0.1235036
739,0.1235036
740,0.1235036
741,0.12168037
742,0.12168037
743,0.12168037
744,0.12168037
745,0.12168037
746,0.11852526
747,0.11852526
748,0.11852526
749,0.11852526
750,0.11852526
751,0.1155236
752,0.1155236
753,0.1155236
754,0.1155236
755,0.1155236
756,0.11217488
757,0.11217488
758,0.11217488
759,0.11217488
760,0.10952908
761,0.10952908
762,0.10952908
763,0.10952908
764,0.10952908
765,0.10831571
766,0.10831571
767,0.10831571
768,0.10831571
769,0.10831571
770,0.10356924
771,0.10356924
772,0.10356924
773,0.10356924
774,0.10356924
775,0.1
776,0.1
777,0.1
778,0.1
779,0.1
780,0.1
781,0.1
782,0.1
783,0.1
784,0.09737498
785,0.09737498
786,0.09737498
787,0.09737498
788,0.09737498
789,0.09354497
790,0.09354497
791,0.09354497
792,0.09354497
793,0.09354497
794,0.0903656
795,0.0903656
796,0.0903656
797,0.0903656
798,0.0903656
799,0.08682007
800,0.08682007
801,0.08682007
802,0.08682007
803,0.08352196
804,0.08352196
805,0.08352196
806,0.08352196
807,0.08352196
808,0.081085905
809,0.081085905
810,0.081085905
811,0.081085905
812,0.081085905
813,0.08
814,0.08
815,0.08
816,0.08
817,0.08
818,0.08
819,0.08
820,0.08
821,0.08
822,0.08
823,0.08
824,0.08
825,0.08
826,0.08
827,0.0790276
828,0.0790276
829,0.0790276
830,0.0790276
831,0.08
832,0.08
833,0.08
834,0.08
835,0.08
836,0.08
837,0.08
838,0.08
839,0.08
840,0.08
841,0.08
842,0.08
843,0.08
844,0.08
845,0.08
846,0.08770772
847,0.08770772
848,0.08770772
849,0.08770772
850,0.09384264
851,0.09384264
852,0.09384264
853,0.09384264
854,0.09384264
855,0.1
856,0.1
857,0.1
858,0.1
859,0.1
860,0.1
861,0.1
862,0.1
863,0.1
864,0.1
865,0.1
866,0.1
867,0.1
868,0.1
869,0.10118771
870,0.10118771
871,0.10118771
872,0.10118771
873,0.10118771
874,0.10988636
875,0.10988636
876,0.10988636
877,0.10988636
878,0.10988636
879,0.1167101
880,0.1167101
881,0.1167101
882,0.1167101
883,0.1167101
884,0.11853974
885,0.11853974
886,0.11853974
887,0.11853974
888,0.11853974
889,0.11814816
890,0.11814816
891,0.11814816
892,0.11814816
893,0.12
894,0.12
895,0.12
896,0.12
897,0.12
898,0.12
899,0.12
900,0.12
901,0.12
902,0.12
903,0.12582976
904,0.12582976
905,0.12582976
906,0.12582976
907,0.12582976
908,0.1343877
909,0.1343877
910,0.1343877
911,0.1343877
912,0.1343877
913,0.13190271
914,0.13190271
915,0.13190271
916,0.13190271
917,0.1321423
918,0.1321423
919,0.1321423
920,0.1321423
921,0.1321423
922,0.13893764
923,0.13893764
924,0.13893764
925,0.13893764
926,0.13893764
927,0.14
928,0.14
929,0.14
930,0.14
931,0.14
932,0.14
933,0.14
934,0.14
935,0.14
936,0.14
937,0.15166941
938,0.15166941
939,0.15166941
940,0.15166941
941,0.15026952
942,0.15026952
943,0.15026952
944,0.15026952
945,0.15026952
946,0.15488672
947,0.15488672
948,0.15488672
949,0.15488672
950,0.15488672
951,0.15390778
952,0.15390778
953,0.15390778
954,0.15390778
955,0.15390778
956,0.14842325
957,0.14842325
958,0.14842325
959,0.14842325
960,0.14842325
961,0.14782351
962,0.14782351
963,0.14782351
964,0.14782351
965,0.14858773
966,0.14858773
967,0.14858773
968,0.14858773
969,0.14858773
970,0.14800613
971,0.14800613
972,0.14800613
973,0.14800613
974,0.14800613
975,0.14313991
976,0.14313991
977,0.14313991
978,0.14313991
979,0.14313991
980,0.13986005
981,0.13986005
982,0.13986005
983,0.13986005
984,0.13986005
985,0.14087585
986,0.14087585
987,0.14087585
988,0.14087585
989,0.14207488
990,0.14207488
991,0.14207488
992,0.14207488
993,0.14207488
994,0.13998894
995,0.13998894
996,0.13998894
997,0.13998894
998,0.13998894
999,0.1394162
1000,0.1394162
1001,0.1394162
1002,0.1394162
1003,0.1394162
1004,0.13741349
1005,0.13741349
1006,0.13741349
1007,0.13741349
1008,0.13741349
1009,0.1328229
1010,0.1328229
1011,0.1328229
1012,0.1328229
1013,0.1321414
1014,0.1321414
1015,0.1321414
1016,0.1321414
1017,0.1321414
1018,0.12811956
1019,0.12811956
1020,0.12811956
1021,0.12811956
1022,0.12811956
1023,0.12444898
1024,0.12444898
1025,0.12444898
1026,0.12444898
1027,0.12444898
1028,0.12048557
1029,0.12048557
1030,0.12048557
1031,0.12048557
1032,0.12048557
1033,0.1185626
1034,0.1185626
1035,0.1185626
1036,0.1185626
1037,0.11759311
1038,0.11759311
1039,0.11759311
1040,0.11759311
1041,0.11759311
1042,0.11651504
1043,0.11651504
1044,0.11651504
1045,0.11651504
1046,0.11651504
1047,0.11084757
1048,0.11084757
1049,0.11084757
1050,0.11084757
1051,0.11084757
1052,0.1036819
1053,0.1036819
1054,0.1036819
1055,0.1036819
1056,0.1036819
1057,0.1
1058,0.1
1059,0.1
1060,0.1
1061,0.1
1062,0.1
1063,0.1
1064,0.1
1065,0.1
1066,0.098162465
1067,0.098162465
1068,0.098162465
1069,0.098162465
1070,0.098162465
1071,0.09393019
1072,0.09393019
1073,0.09393019
1074,0.09393019
1075,0.09393019
1076,0.088815264
1077,0.088815264
1078,0.088815264
1079,0.088815264
1080,0.08681308
1081,0.08681308
1082,0.08681308
1083,0.08681308
1084,0.08681308
1085,0.08429712
1086,0.08429712
1087,0.08429712
1088,0.08429712
1089,0.08429712
1090,0.081781164
1091,0.081781164
1092,0.081781164
1093,0.081781164
1094,0.081781164
1095,0.08
1096,0.08
1097,0.08
1098,0.08
1099,0.08
1100,0.08
1101,0.08
1102,0.08
1103,0.08
1104,0.08
1105,0.08
1106,0.08
1107,0.08
1108,0.08
1109,0.08
1110,0.08
1111,0.08
1112,0.08
1113,0.08
1114,0.08
1115,0.08
1116,0.08
1117,0.08
1118,0.08
1119,0.08
1120,0.08
1121,0.08
1122,0.08
1123,0.08770772
1124,0.08770772
1125,0.08770772
1126,0.08770772
1127,0.09384264
1128,0.09384264
1129,0.09384264
1130,0.09384264
1131,0.09384264
1132,0.1
1133,0.1
1134,0.1
1135,0.1
1136,0.1
1137,0.1
1138,0.1
1139,0.1
1140,0.1
1141,0.1
1142,0.1
1143,0.1
1144,0.1
1145,0.1
1146,0.10118771
1147,0.10118771
1148,0.10118771
1149,0.10118771
1150,0.10118771
1151,0.10988636
1152,0.10988636
1153,0.10988636
1154,0.10988636
1155,0.10988636
1156,0.1167101
1157,0.1167101
1158,0.1167101
1159,0.1167101
1160,0.1167101
1161,0.11853974
1162,0.11853974
1163,0.11853974
1164,0.11853974
1165,0.11853974
1166,0.11814816
1167,0.11814816
1168,0.11814816
1169,0.11814816
1170,0.12
1171,0.12
1172,0.12
1173,0.12
1174,0.12
1175,0.12
1176,0.12
1177,0.12
1178,0.12
1179,0.12
1180,0.12582976
