,distance_stream_downstream
0,17715.96
1,17554.76
2,17393.557
3,17232.355
4,15971.567
5,16132.77
6,15971.563
7,15134.93
8,14973.728
9,14923.142
10,14237.063
11,14287.649
12,14448.852
13,13077.989
14,13027.403
15,12976.813
16,13027.403
17,13188.605
18,13349.808
19,13502.239
20,13552.825
21,13502.239
22,16870.791
23,16820.205
24,16557.744
25,16608.334
26,16658.93
27,24421.049
28,24370.463
29,24421.049
30,24370.463
31,24319.871
32,24370.457
33,23433.0
34,23271.797
35,23110.596
36,23271.797
37,23110.592
38,23161.182
39,22465.627
40,22304.418
41,22253.832
42,22203.242
43,22253.828
44,22415.031
45,22253.799
46,22092.598
47,22042.012
48,24239.695
49,24189.11
50,24138.52
51,24189.105
52,25539.18
53,25377.977
54,25327.39
55,25488.594
56,25327.387
57,25377.98
58,25428.566
59,25580.436
60,26870.424
61,26819.838
62,26870.424
63,28321.678
64,28271.092
65,28109.883
66,27948.676
67,28321.666
68,28160.463
69,27999.262
70,27948.676
71,28109.877
72,28160.469
73,28321.678
74,28482.879
75,28321.701
76,28271.115
77,30206.166
78,30044.965
79,29883.762
80,29833.176
81,29883.762
82,29833.176
83,29883.762
84,29934.352
85,30095.555
86,30256.756
87,30417.977
88,30579.186
89,33180.215
90,33129.63
91,33180.22
92,33230.805
93,33392.008
94,33553.21
95,33643.39
96,33592.8
97,33643.39
98,33693.977
99,36051.055
100,36101.64
101,36152.227
102,36313.43
103,36152.23
104,36313.45
105,37352.17
106,37301.582
107,37250.996
108,37301.582
109,38994.664
110,38833.46
111,38672.254
112,38621.668
113,38782.87
114,38621.668
115,38782.883
116,38944.082
117,38994.676
118,40305.332
119,40144.13
120,40093.54
121,40042.953
122,40093.543
123,17836.912
124,17786.326
125,17272.629
126,17111.416
127,16950.201
128,16899.611
129,16950.201
130,16899.607
131,15951.813
132,15790.6
133,15740.003
134,15689.413
135,15740.003
136,15689.41
137,15740.003
138,15013.996
139,14852.788
140,14691.574
141,14640.984
142,14691.574
143,14005.495
144,13954.902
145,13904.3125
146,13954.902
147,14005.495
148,14166.71
149,14327.918
150,13592.734
151,13431.5205
152,13380.931
153,12957.05
154,12795.835
155,12745.246
156,12795.835
157,12745.242
158,12795.835
159,13270.671
160,13220.081
161,13270.671
162,13321.264
163,16911.066
164,16749.852
165,16588.637
166,16538.047
167,16588.637
168,16326.18
169,16275.59
170,16326.18
171,16376.776
172,16537.99
173,24300.11
174,24138.896
175,24088.307
176,24138.896
177,24088.303
178,24138.896
179,23201.45
180,23040.242
181,22879.027
182,22828.438
183,22879.027
184,22828.434
185,22344.682
186,22183.473
187,22022.264
188,21971.676
189,22022.264
190,21971.676
191,22022.264
192,21861.033
193,21810.443
194,21861.033
195,21911.627
196,23957.541
197,23906.953
198,23957.541
199,23745.725
200,23695.135
201,23745.725
202,25468.842
203,25307.627
204,25146.412
205,25095.824
206,25146.412
207,25095.82
208,25146.412
209,25399.457
210,25348.87
211,25399.457
212,26588.271
213,26537.682
214,26588.271
215,28039.523
