,profile_curvature
0,8.1730894e-07
1,1.2345921e-06
2,1.7757238e-06
3,2.4446101e-06
4,3.119478e-06
5,3.7120699e-06
6,3.836642e-06
7,4.2458764e-06
8,4.69598e-06
9,4.6621053e-06
10,4.36798e-06
11,2.577185e-06
12,3.3040413e-07
13,-6.281667e-07
14,-3.687017e-07
15,1.2237727e-07
16,-9.903442e-08
17,-4.379621e-06
18,-9.096384e-06
19,-1.5966587e-05
20,-0.0001317082
21,0.0010969607
22,0.0013405725
23,0.000214172
24,6.5519e-05
25,4.181858e-05
26,4.456038e-05
27,4.556873e-05
28,3.7073576e-05
29,2.3652587e-05
30,2.0083271e-05
31,2.3515133e-05
32,1.3800747e-05
33,1.6370005e-06
34,-2.0051948e-05
35,-0.00013390782
36,-0.0023960925
37,-0.00069690397
38,-6.452809e-05
39,-7.550231e-06
40,2.1650894e-05
41,5.9562753e-05
42,0.00024755637
43,-0.0017118689
44,0.00048257096
45,0.00083306705
46,-3.911009e-05
47,-0.0005607991
48,-0.0012123833
49,0.000208159
50,0.0030597514
51,-0.0005741011
52,-2.705425e-05
53,-1.8320941e-05
54,-2.183496e-05
55,3.564752e-06
56,9.9630226e-05
57,0.00018689409
58,9.108341e-05
59,2.8604858e-05
60,3.4474347e-06
61,-1.847889e-05
62,-0.00010577974
63,-0.11678843
64,-0.00018348121
65,-2.1100897e-05
66,-6.3343496e-06
67,2.5953718e-06
68,3.1332434e-05
69,0.00021591184
70,0.00027220184
71,-4.620374e-05
72,-3.4141126e-06
73,-5.9170798e-06
74,-2.2345082e-05
75,-2.3314175e-05
76,-2.2747358e-06
77,-7.2035755e-07
78,-0.00016531866
79,-0.00044715372
80,0.0007179747
81,0.0003276316
82,3.61894e-05
83,7.019856e-06
84,-7.324387e-08
85,-4.0153645e-06
86,-1.3757617e-05
87,-3.511264e-05
88,-0.000117933196
89,-0.0016549742
90,-0.0022930563
91,-0.0003455489
92,-0.000113441274
93,-5.1438547e-05
94,-2.7415497e-05
95,-1.4813938e-05
96,-7.258756e-06
97,-1.2566231e-06
98,9.365978e-06
99,4.6490135e-05
100,9.435817e-05
101,-0.00014834761
102,-0.0001051785
103,2.5862076e-07
104,7.3892106e-06
105,-1.8966803e-05
106,-8.4459556e-05
107,-0.00014167471
108,-0.00016781755
109,-0.00027985487
110,-0.0012971029
111,-0.003133849
112,-0.0011211326
113,-0.0003344248
114,-0.00012110247
115,-0.00011275744
116,-0.0003727276
117,-0.00029013638
118,-8.6680535e-05
119,-1.4495401e-05
120,1.23938735e-05
121,0.00010867499
122,0.0009647141
123,0.2462026
124,0.00030455185
125,2.9937513e-05
126,-1.14851355e-05
127,-2.5610636e-05
128,-1.7432856e-05
129,-4.671069e-09
130,-7.6451666e-05
131,-0.00015286656
132,-6.381758e-05
133,-7.254471e-05
134,-1.3221342e-05
135,3.205042e-05
136,9.975464e-05
137,8.6884e-05
138,3.835512e-05
139,1.2700624e-05
140,2.5866902e-06
141,-1.862797e-06
142,-8.266276e-06
143,-1.3053896e-05
144,-1.2808987e-05
145,-1.2321155e-05
146,-1.2096018e-05
147,-1.2381307e-05
148,-1.46085695e-05
149,-2.029047e-05
150,-2.9144265e-05
151,-4.2673128e-05
152,-6.449383e-05
153,-0.000102852406
154,-9.0827474e-05
155,-8.573036e-05
156,-8.996425e-05
157,-6.5653476e-05
158,-4.383091e-05
159,-3.2592194e-05
160,-3.1635045e-05
161,-4.1177966e-05
162,-6.1192506e-05
163,-0.00010759298
164,-0.00020215356
165,-0.00051301497
166,-0.001970797
167,-0.0070263008
168,-0.0015473373
169,-0.00034175828
170,-0.00016010996
171,-9.763402e-05
172,-0.00020173204
173,-0.00018766431
174,-4.093328e-05
175,1.3686752e-05
176,6.761709e-06
177,9.289102e-06
178,1.3753093e-05
179,1.3232177e-05
180,1.1394551e-05
181,6.861317e-06
182,2.8890697e-06
183,1.4788466e-06
184,2.3097193e-06
185,3.200426e-06
186,4.166561e-06
187,6.777857e-06
188,3.913226e-06
189,1.0206809e-05
190,3.6327594e-05
191,4.3609776e-05
192,-5.932996e-06
193,-2.239254e-05
194,-2.0937416e-05
195,-2.1633703e-05
196,-1.9133347e-05
197,-1.6705457e-05
198,-1.8138468e-05
199,-2.2452488e-05
200,-2.8950606e-05
201,-3.584816e-05
202,-4.9780912e-05
203,-8.2106526e-05
204,-0.00012322752
205,-5.6977096e-05
206,6.8778885e-05
207,0.00012446275
208,7.158924e-05
209,0.00016773173
210,0.0003388949
211,0.0002743492
212,2.4139887e-05
213,-0.00014313606
214,0.00056967617
215,0.0011263763
216,0.00028408435
217,0.00024095744
218,0.0011267184
219,0.007528561
220,0.055282123
221,-0.007356083
222,-0.00086664903
223,-0.00026286067
224,-9.3371076e-05
225,-1.8899713e-05
226,-1.4648363e-06
227,-2.0678672e-06
228,-5.092667e-06
229,-2.9250526e-05
230,-6.0495884e-05
231,-3.2065473e-05
232,-1.5839543e-05
233,-2.7850721e-05
234,-4.786882e-05
235,2.2701639e-05
236,9.987343e-05
237,4.50484e-05
238,8.490599e-06
239,-5.711035e-06
240,-8.456472e-06
241,1.6231137e-06
242,8.826382e-06
243,-1.6323793e-06
244,-6.5104773e-06
245,-3.5418943e-05
246,-0.00017666031
247,-0.00012966113
248,2.2817034e-05
249,-0.00027845145
250,-7.6992954e-05
251,-2.7972774e-05
252,-1.2177621e-06
253,0.00013469277
254,0.0031298073
255,0.016075991
256,0.10204264
257,0.00030913996
258,-6.320056e-05
259,-0.00022364102
260,-0.00044664613
261,0.0008112369
262,-0.0018519327
263,-0.0005928849
264,-9.501987e-05
265,0.00027794423
266,0.00014648792
267,5.1104165e-05
268,3.0594707e-05
269,-3.3475206e-07
270,-1.9001384e-07
271,-9.576435e-08
272,2.4848281e-09
273,4.9589488e-08
274,2.6775533e-08
275,-5.2626095e-08
276,-8.644663e-08
277,-2.0512223e-08
278,6.960314e-08
279,1.1173241e-07
280,-3.344759e-07
281,-1.504928e-06
282,-2.1289889e-06
283,-2.23154e-06
284,-1.6794288e-06
285,-1.1242022e-06
286,-2.759561e-06
287,-5.563931e-06
288,-1.004829e-05
289,-1.1741382e-05
290,0.0003652858
291,0.0006860284
292,-0.00089651573
293,0.00036664878
294,0.00036975232
295,0.00046106987
296,0.00035049234
297,0.00017650523
298,4.9660695e-05
299,3.9021113e-05
300,5.8839632e-05
301,2.9541568e-05
302,8.436329e-06
303,-4.2063994e-06
304,-4.137252e-05
305,-0.00038962072
306,0.0011038234
307,-0.0005583069
308,-6.28263e-05
309,-1.6697843e-05
310,1.920851e-05
311,0.00011487646
312,0.00028836355
313,-0.00011059307
314,0.2041646
315,0.0028902455
316,-44.320816
317,0.048828874
318,0.0014420279
319,0.00039119035
320,-8.241339e-05
321,-0.00021096757
322,-7.6523684e-05
323,-3.248655e-05
324,-4.491735e-06
325,3.9740684e-05
326,4.7175035e-05
327,7.275323e-05
328,2.2645632e-05
329,-1.2700011e-06
330,-2.5227155e-05
331,-0.0001719432
332,-0.019293657
333,-0.00010456786
334,-1.561405e-05
335,-4.7458625e-06
336,7.411092e-06
337,5.691746e-05
338,0.00037344886
339,5.5283046e-05
340,-2.1638327e-05
341,3.352349e-06
342,-6.9579232e-06
343,-1.4560289e-05
344,-2.7511904e-05
345,-1.8332452e-05
346,-1.5801334e-05
347,4.340403e-05
348,0.00026598922
349,0.03683945
350,0.001710964
351,7.305617e-05
352,1.0592683e-05
353,1.3185047e-06
354,-1.7288379e-06
355,-9.896518e-06
356,-2.8448945e-05
357,-8.972167e-05
358,-0.0007415081
359,-0.0007800674
360,-0.00054993364
361,-0.00015263681
362,-6.785421e-05
363,-3.464769e-05
364,-1.7438493e-05
365,-8.4927615e-06
366,-2.499158e-06
367,1.0340135e-05
368,6.3843574e-05
369,0.00022630072
370,0.0003520938
371,4.8424794e-05
372,9.557801e-05
373,1.8602623e-05
374,-1.1738653e-06
375,-1.6308564e-05
376,-0.00010920534
377,-0.00013682626
378,-0.00010357381
379,-0.0002176396
380,-0.004257524
381,-0.029806372
382,-0.0034851748
383,-0.00047022096
384,-0.00010257009
385,-0.00028926315
386,-0.0011915858
387,-0.00017855997
388,-3.7644462e-05
389,-7.570442e-06
390,2.6717233e-05
391,0.00012432729
392,0.00036435883
393,0.00014301912
394,2.06374e-05
395,-6.1476544e-06
396,-1.4315564e-05
397,-1.3665703e-05
398,-1.6121347e-05
399,-8.655192e-05
400,0.00017670741
401,-7.711415e-05
402,-6.1281185e-05
403,-1.762122e-05
404,7.179139e-06
405,2.7633765e-05
406,2.3514829e-05
407,8.700214e-06
408,-1.2376785e-06
409,-5.2682444e-06
410,-5.1284023e-06
411,-1.1099243e-05
412,-2.2198163e-05
413,-2.6352656e-05
414,-2.6780106e-05
415,-2.6126076e-05
416,-2.7027914e-05
417,-3.205289e-05
418,-4.581353e-05
419,-6.769233e-05
420,-9.9992176e-05
421,-0.00015531667
422,-0.00022680189
423,-0.00017729707
424,-0.00019998508
425,-0.00019027047
426,-0.0001405823
427,-9.830768e-05
428,-7.7669654e-05
429,-7.993667e-05
430,-9.2626186e-05
431,-0.00012319573
432,-0.00019670534
433,-0.00032019184
434,-0.00063177967
435,-0.0014652623
436,-9.246233e-08
437,-0.00084381
438,-0.00022452426
439,-0.0001916008
440,-5.5852615e-05
441,-2.507174e-05
442,6.197849e-05
443,5.5826273e-05
444,1.3888453e-05
445,-1.0605337e-05
446,-1.0680868e-05
447,-5.694833e-06
448,-4.7988474e-06
449,-8.891655e-06
450,-1.5301492e-05
451,-1.9456653e-05
452,-2.2100354e-05
453,-2.1770114e-05
454,-2.4245684e-05
455,-2.3675739e-05
456,-2.497808e-05
457,-2.8646682e-05
458,-2.843242e-05
459,-1.710159e-05
460,-2.0153375e-06
461,-1.5333091e-05
462,-3.5672114e-05
463,-3.676208e-05
464,-4.3018605e-05
465,-3.866973e-05
466,-3.43381e-05
467,-3.425579e-05
468,-4.3184788e-05
469,-5.3468113e-05
470,-6.574184e-05
471,-8.659398e-05
472,-0.000119368684
473,-0.00010653633
474,2.2649208e-05
475,4.971387e-05
476,3.4646764e-05
477,5.7921265e-05
478,0.0001254668
479,0.0001679548
480,2.2519995e-05
481,-0.0002239403
482,-0.00031259
483,0.00039113307
484,3.815688e-06
485,-0.00031618626
486,2.3069493e-05
487,0.0012913976
488,0.0027243942
489,-0.0036132059
490,-0.00095001096
491,-0.00024186684
492,-9.83811e-05
493,-3.9175407e-05
494,-7.978606e-06
495,9.371071e-06
496,2.8183666e-05
497,4.559452e-05
498,5.1103034e-05
499,-0.00014730598
500,-0.00022603612
501,-0.00026207123
502,-0.00017810964
503,-1.7075468e-05
504,2.7722323e-05
505,3.1228832e-05
506,1.9949686e-05
507,2.9792695e-06
508,4.2813635e-06
509,8.335515e-06
510,1.3958256e-05
511,1.858693e-05
512,2.6499665e-06
513,-1.3323294e-06
514,-1.9629866e-05
515,-7.507278e-05
516,-0.00013648963
517,-2.9900835e-05
518,-0.0004207342
519,-0.00010858346
520,-3.843156e-05
521,-1.4056541e-05
522,4.3795513e-05
523,0.00033318167
524,0.0001173587
525,-0.0015240717
526,-0.00011971486
527,-5.3115316e-05
528,-8.4954816e-05
