,slope
0,21.23118
1,22.045626
2,20.44204
3,19.068407
4,17.709326
5,17.573101
6,21.32163
7,23.564135
8,21.02827
9,15.89662
10,11.564915
11,11.026164
12,10.191101
13,10.44766
14,10.775834
15,9.007855
16,5.898834
17,4.0878
18,1.6179609
19,0.90601087
20,3.9765263
21,5.806348
22,4.854519
23,7.9868493
24,8.239118
25,6.3326187
26,2.7047567
27,1.5637691
28,1.5924925
29,2.0139163
30,2.3029163
31,3.7452383
32,6.4700117
33,7.1078625
34,6.720906
35,3.8384118
36,0.7242523
37,0.10287225
38,1.3943125
39,3.0825582
40,6.310816
41,7.935764
42,2.1171396
43,5.309243
44,4.520106
45,1.481218
46,2.0020764
47,3.1071646
48,2.487186
49,0.6410999
50,1.3832456
51,3.4870317
52,6.9190884
53,4.00473
54,5.4095855
55,4.5336595
56,2.7650287
57,3.7035565
58,2.328943
59,4.8533726
60,6.159224
61,4.945762
62,6.227341
63,4.3300843
64,3.8329623
65,1.8232458
66,0.7107927
67,0.5125648
68,1.929796
69,4.4780755
70,5.763465
71,7.255144
72,5.2933335
73,3.066418
74,5.8580275
75,3.3892834
76,4.5073876
77,9.86223
78,4.560905
79,7.124719
80,6.4854565
81,3.400427
82,1.7280093
83,2.561948
84,4.787324
85,4.9221992
86,2.5234084
87,1.6393489
88,2.398444
89,3.2906005
90,1.3912586
91,0.13682166
92,0.1623962
93,0.1623962
94,0.13682166
95,2.0465043
96,2.2279553
97,0.73461205
98,1.2646455
99,2.54888
100,4.9615254
101,6.6025705
102,1.9632419
103,4.5304313
104,3.6253538
105,4.2912073
106,3.0745375
107,1.4344212
108,4.7776628
109,5.501957
110,0.71221155
111,3.8708882
112,6.8815074
113,3.194883
114,4.3524623
115,2.6239045
116,2.8081424
117,2.5293949
118,4.359965
119,4.534278
120,3.6768456
121,3.6678421
122,3.2542193
123,4.5882955
124,2.5875924
125,4.8651533
126,5.364199
127,4.841815
128,3.470979
129,4.3362117
130,3.914893
131,1.2914958
132,3.6645908
133,3.9010713
134,3.007875
135,4.478923
136,1.0453672
137,3.455281
138,6.416988
139,6.2699747
140,1.9889016
141,7.085131
142,3.6161554
143,2.910694
144,5.690134
145,4.8117566
146,4.2101727
147,3.0910933
148,2.6896133
149,2.803896
150,3.5298572
151,3.865947
152,4.162494
153,3.64525
154,2.6991181
155,2.2833588
156,2.258209
157,1.6641791
158,0.4814554
159,1.4919384
160,3.8160756
161,2.7489696
162,1.7014577
163,2.4256315
164,1.9722633
165,1.2369356
166,2.61615
167,3.2247908
168,1.3094674
169,0.52497685
170,0.3101819
171,0.20574383
172,0.6341337
173,0.5331065
174,1.4213667
175,1.4334192
176,0.84461486
177,0.84913164
178,1.0551866
179,1.8431317
180,0.3086141
181,2.9683278
182,2.8503716
183,0.40829453
184,1.2518982
185,1.0551866
186,1.1168865
187,1.4440943
188,0.41045874
189,2.1210215
190,3.4191363
191,2.570497
192,0.35541004
193,2.0309737
194,1.9040967
195,1.1784593
196,0.5257775
197,0.58436245
198,2.020653
199,2.333951
200,1.6696498
201,1.2049438
202,1.697152
203,1.1674598
204,1.37778
205,1.7226868
206,2.247696
207,1.319402
208,1.0682485
209,0.88841504
210,0.30462688
211,1.6459562
212,1.2498894
213,0.25423208
214,0.66045755
215,0.99601793
216,1.5890968
217,0.9100136
218,0.4330494
219,0.27364177
220,0.36369026
221,1.1576298
222,2.1094756
223,0.20574383
224,1.6618066
225,1.0498656
226,0.67027193
227,0.22427574
228,1.87232
229,4.3202825
230,5.1957946
231,4.4348145
232,4.211343
233,3.210285
234,0.6670895
235,4.138807
236,3.573357
237,2.9703746
238,1.9741042
239,1.1810383
240,5.607346
241,8.068633
242,0.6167692
243,1.9722633
244,3.296242
245,2.9935472
246,2.6416974
247,3.0022554
248,1.2563435
249,1.0699769
250,1.3530537
251,3.224496
252,5.5307302
253,2.632323
254,5.349772
255,2.2619727
256,6.086148
257,1.628423
258,5.2870016
259,4.380969
260,0.8048647
261,3.7890193
262,4.9571214
263,1.4816537
264,4.5169163
265,0.99436736
266,1.9914342
267,1.3530537
268,3.737266
269,4.826423
270,4.8703
271,3.2542193
272,0.8346726
273,0.4680327
274,0.71336406
275,19.354836
276,13.259867
277,8.370115
278,6.1440277
279,5.808107
280,4.761546
281,7.289212
282,13.294655
283,18.106527
284,17.13705
285,11.651799
286,7.6866717
287,5.5234294
288,8.793667
289,11.539131
290,10.129669
291,8.81496
292,6.983517
293,4.015056
294,2.5657094
295,6.671066
296,2.69717
297,7.0619454
298,6.415154
299,4.7451277
300,5.988277
301,5.029532
302,6.2235374
303,7.5531144
304,8.28155
305,6.993772
306,6.670751
307,9.441718
308,8.081193
309,10.221298
310,9.849364
311,4.483685
312,0.75778764
313,0.20574245
314,1.4131097
315,4.1119213
316,8.74661
317,7.6479588
318,2.6498518
319,5.9571633
320,3.3955567
321,2.253591
322,1.4241825
323,2.004286
324,1.7775118
325,1.3800348
326,5.4485974
327,6.9520097
328,0.624888
329,6.9011707
330,4.444333
331,1.6435707
332,2.894618
333,3.353363
334,6.9996796
335,5.9571633
336,3.4966714
337,7.5538564
338,6.0859222
339,4.084392
340,2.0099957
341,0.49739465
342,0.273632
343,1.9549263
344,4.6118855
345,5.6458163
346,7.8144145
347,5.5006304
348,5.1858354
349,6.5695076
350,1.5548061
351,2.5025504
352,8.566691
353,4.9137907
354,6.48205
355,4.5587225
356,2.8296883
357,5.2724743
358,3.1800597
359,7.9701543
360,3.6353567
361,1.5302223
362,0.8771122
363,1.3464782
364,2.3611772
365,2.0927696
366,0.20414662
367,0.16089533
368,0.0
369,0.35539666
370,2.4102614
371,1.6887994
372,0.46603504
373,1.1489654
374,2.9295046
375,5.148687
376,5.0648146
377,1.2105517
378,3.6384888
379,1.3186733
380,2.0150602
381,3.2501578
382,4.4302573
383,1.4689311
384,5.8392005
385,3.7643552
386,0.8640339
387,4.4474854
388,5.9114428
389,0.28187442
390,5.304901
391,3.6303089
392,1.1100168
393,2.4205458
394,4.8766813
395,0.73458624
396,4.4557366
397,0.562056
398,5.8722024
399,6.831774
400,0.4114796
401,4.062075
402,4.5000854
403,3.4662724
404,2.34932
405,3.198664
406,5.8259687
407,2.2444737
408,2.3394272
409,3.4432583
410,3.1962614
411,2.8171139
412,6.507453
413,6.055858
414,3.3621125
415,2.820102
416,7.0643907
417,4.467588
418,0.7236876
419,3.5043466
420,4.0760593
421,3.8708057
422,2.0907164
423,2.5330372
424,2.851978
425,3.1582081
426,3.170161
427,2.7978873
428,1.9486849
429,1.3727357
430,1.6030418
431,1.4808617
432,0.7626485
433,0.26289326
434,1.3382406
435,3.463146
436,1.7106622
437,2.0565498
438,1.8290033
439,1.3708296
440,0.89794403
441,2.5645115
442,2.5285017
443,0.9348636
444,0.2569291
445,0.1623921
446,0.13681677
447,0.5472515
448,0.66933036
449,1.6876675
450,1.1697031
451,1.0678728
452,0.50275165
453,1.5251592
454,0.42868185
455,2.5179586
456,2.476696
457,0.8643242
458,1.2454461
459,1.010868
460,0.7626485
461,1.2816051
462,2.0303342
463,2.0367568
464,1.096018
465,2.5322828
466,2.9129794
467,1.0373768
468,0.99434054
469,0.45692924
470,1.1413988
471,1.3294562
472,1.2276452
473,1.4321911
474,1.8287295
475,1.6267868
476,1.7057602
477,1.8287514
478,1.096018
479,0.8629654
480,1.1907071
481,2.120951
482,1.3186733
483,0.76152
484,0.4114796
485,0.49739465
486,2.3045332
487,0.9959966
488,1.156552
489,0.78455824
490,1.1168737
491,1.2646117
492,0.72423226
493,0.061856393
494,0.7221387
495,1.1730249
496,1.8758073
497,0.8487623
498,1.4213667
499,1.6093587
500,0.6945737
501,0.25422952
502,1.0588942
503,2.8333664
504,3.8691068
505,3.8202636
506,3.433155
507,3.2455385
508,4.0912185
509,3.9679792
510,1.8989563
511,0.494839
512,1.974094
513,2.74671
514,1.7763659
515,6.2878566
516,6.512174
517,3.0612967
518,4.722691
519,5.1280484
520,6.3497777
521,6.599876
522,6.6768336
523,4.8323097
524,0.61674887
525,1.3403232
526,2.673579
527,5.1683884
528,3.5020747
529,3.734489
530,2.9866533
531,4.1603193
532,3.170436
533,1.4529086
534,5.1242666
535,2.9398985
536,1.4544389
537,4.7987757
538,3.1155965
539,2.8206816
540,1.5791992
541,1.3705553
542,2.7766244
543,3.0197673
544,1.7057602
545,4.8323097
546,4.4162035
547,2.0899704
548,0.73458624
549,0.3789104
550,26.804363
551,28.864231
552,25.441908
553,12.688985
554,15.051602
555,16.50463
556,18.41887
557,14.814676
558,10.048949
559,10.3193
560,7.1384425
561,7.609671
562,11.246626
563,11.923025
564,6.5268874
565,5.475122
566,9.598368
567,10.591414
568,9.164434
569,3.952447
570,8.035751
571,5.766962
572,6.6522
573,5.6170344
574,0.56699723
575,2.9311671
576,7.1769214
577,9.358641
578,9.163396
579,7.0578876
580,7.4134474
581,3.6697552
582,6.1511993
583,1.1787965
584,3.3712997
585,10.281076
586,10.275808
587,3.7305298
588,1.0283496
589,0.054129463
590,1.6234498
591,5.5040846
592,10.231604
593,3.546697
594,4.454564
595,2.4746127
596,4.449134
597,1.3772099
598,1.5021585
599,1.4918301
600,0.8282351
601,4.122419
602,6.8604703
603,4.1959124
604,5.2274184
605,5.891437
606,3.1951745
607,4.429948
608,2.05608
609,4.047404
610,5.021333
611,3.1912136
612,6.4676957
613,7.377738
614,4.407551
615,1.8788441
616,0.25422695
617,0.48962417
618,2.0575202
619,4.1271243
620,4.150077
621,5.624249
622,8.088527
623,2.2886593
624,7.395975
625,2.2646286
626,0.6737729
627,6.7807717
628,2.9180796
629,6.057962
630,2.225632
631,5.472623
632,4.0500684
633,5.720957
634,6.119662
635,2.071066
636,3.4445074
637,3.921222
638,1.2574219
639,1.515272
640,1.5549468
641,0.2242592
642,0.12371268
643,0.27064538
644,0.59782964
645,2.3293495
646,1.1729972
647,0.823476
648,1.7650446
649,3.5498676
650,4.2786083
651,3.6035173
652,1.8129256
653,1.4659811
654,2.8296466
655,2.358185
656,1.5492179
657,4.2362876
658,3.549574
659,2.4361634
660,5.2759085
661,3.5733774
662,0.9791768
663,5.7935953
664,3.906853
665,4.144678
666,3.4663918
667,2.532188
668,0.6702346
669,6.1998954
670,2.2747223
671,5.493304
672,1.3099897
673,5.0694833
674,8.7724285
675,2.4701595
676,3.6564722
677,4.2872953
678,5.379362
679,2.598476
680,3.4315093
681,2.8558068
682,3.911003
683,1.8814441
684,0.9649782
685,0.20574108
686,4.985824
687,7.748176
688,2.95273
689,1.5426917
690,1.625144
691,5.5548115
692,5.7255573
693,2.0981598
694,1.0682178
695,2.8682773
696,4.19872
697,2.1037226
698,2.779658
699,2.498597
700,2.2619855
701,2.1523752
702,1.740379
703,1.507259
704,1.1314336
705,1.3384348
706,1.2091823
707,0.27064538
708,0.41147685
709,1.5789667
710,2.7227592
711,1.874069
712,1.5637541
713,1.144514
714,1.2654082
715,1.256226
716,2.3258457
717,1.7450156
718,0.53445446
719,0.10287087
720,0.10825883
721,0.18815179
722,0.27064538
723,0.70060515
724,2.0926917
725,0.95759594
726,0.8361833
727,1.507259
728,0.650982
729,2.1423802
730,2.3406172
731,0.7577685
732,1.269036
733,0.97319126
734,0.48267463
735,1.2034129
736,1.168596
737,1.7958221
738,2.2373986
739,2.0488317
740,2.1454663
741,2.0167747
742,0.24742422
743,0.91378886
744,1.1489314
745,0.70364785
746,1.2276417
747,0.9840705
748,0.8322196
749,0.8238538
750,1.0832697
751,1.2496269
752,0.8455682
753,0.40629268
754,0.52763814
755,1.4668715
756,1.9225409
757,1.1246096
758,0.36537722
759,0.4485115
760,1.3624996
761,2.3392653
762,0.10287087
763,1.7344686
764,0.6840283
765,0.8322196
766,0.81188786
767,0.36367568
768,0.48962417
769,1.264824
770,1.6824539
771,1.1505797
772,1.1752427
773,1.8180497
774,0.8322196
775,0.44422594
776,0.20574108
777,1.715678
778,2.2234998
779,2.160616
780,3.664415
781,4.11719
782,4.159752
783,4.213114
784,4.283061
785,4.2294574
786,4.4198956
787,3.6706734
788,1.6720105
789,2.36949
790,5.310881
791,4.4521213
792,1.3108538
793,2.5932384
794,1.5733708
795,1.7625551
796,2.5232038
797,7.845744
798,6.7828803
799,2.4878323
800,0.162388
801,0.8572877
802,2.0420227
803,2.13195
804,1.3370799
805,2.7583673
806,2.939789
807,3.8931048
808,1.211996
809,5.5810075
810,3.3293009
811,0.48962417
812,2.0015616
813,3.411408
814,2.669442
815,2.0379062
816,1.6920023
817,3.6105342
818,5.4887342
819,2.5070345
820,4.436736
821,4.906166
822,2.1016006
