,vector_ruggedness_measure
0,-8.802166e-09
1,0.000765459
2,0.0022083002
3,0.002845189
4,0.00088663655
5,0.0003666939
6,0.0022619264
7,0.0025934447
8,0.000209644
9,0.0015652177
10,0.0033021185
11,0.002648349
12,0.00054634927
13,0.0022223399
14,0.0022472215
15,0.0010746879
16,0.0009414905
17,0.0008552789
18,0.0005242812
19,0.0005247337
20,0.00068607327
21,0.00062831875
22,0.0011643189
23,0.0028698926
24,0.0006515998
25,0.000122047255
26,0.0008780859
27,0.0007635442
28,9.320249e-05
29,2.1472333e-05
30,1.9490535e-05
31,0.00012292124
32,0.0005051456
33,0.0005997958
34,0.0012690515
35,0.0010113775
36,0.00097063207
37,0.0004371712
38,0.00011615342
39,0.00022930483
40,0.000639056
41,0.000676324
42,0.0011561587
43,0.004440318
44,0.0015684618
45,0.00077304506
46,0.00049707235
47,0.00020769515
48,0.0002004877
49,0.0001844082
50,0.00037693002
51,0.00043947462
52,0.00095519976
53,0.0005140173
54,0.0037030398
55,0.0022508984
56,0.0018948807
57,0.0016545434
58,0.0002680544
59,0.0010745741
60,0.0017232385
61,0.002571886
62,0.003350737
63,0.00031009506
64,0.00022565137
65,0.00019457683
66,0.00025499528
67,0.00013705254
68,0.00017667405
69,0.0004175187
70,0.00041144236
71,0.0002675709
72,0.00024089993
73,0.0029484867
74,0.0034039333
75,0.00047477102
76,0.0023440877
77,0.0036111167
78,0.0014109422
79,0.005751693
80,0.0020047878
81,0.00060110056
82,0.0016529611
83,0.0010618367
84,0.0012276564
85,0.0008382206
86,0.0003872531
87,0.00053955923
88,0.0002584605
89,0.0004630408
90,0.000115089206
91,0.00025986548
92,6.974221e-05
93,2.5221943e-06
94,1.17261706e-07
95,0.00012466218
96,0.00013719471
97,7.311725e-05
98,8.2386585e-05
99,9.283592e-05
100,0.00039017963
101,0.00044515662
102,0.0015479095
103,0.0029589436
104,0.0007737353
105,0.0008454333
106,9.918284e-05
107,0.00045137995
108,0.0015216366
109,0.0014759103
110,0.0008108043
111,0.002082391
112,0.0012250212
113,0.00051444204
114,0.002981933
115,0.0011579754
116,0.00045061822
117,0.00029422427
118,0.0006693234
119,0.00050692126
120,0.001319468
121,0.0014422147
122,0.0011480008
123,0.001692401
124,0.0007502272
125,0.0017444866
126,0.0008691775
127,0.00042518997
128,0.0001946738
129,0.0005360298
130,0.00014772585
131,0.0006675363
132,0.001535112
133,0.0007351751
134,0.0010405245
135,0.0016328738
136,0.0008440012
137,0.0016042845
138,0.0007392776
139,0.00030265245
140,0.002198692
141,0.004484785
142,0.0007143734
143,0.0024889528
144,0.002133713
145,0.00037096994
146,0.00029394764
147,0.00022900621
148,0.00019780555
149,1.1703256e-05
150,3.1354328e-05
151,4.741523e-05
152,6.238909e-05
153,7.227406e-05
154,5.9508217e-05
155,5.5212953e-05
156,9.843653e-06
157,3.052276e-05
158,9.0925714e-05
159,0.00023273726
160,0.00045673345
161,0.00013941745
162,0.00027207035
163,0.00030190308
164,6.512452e-05
165,4.359933e-05
166,0.00016926145
167,0.0002703678
168,0.00010339212
169,0.00020352766
170,2.9959496e-05
171,6.8870536e-06
172,1.8738514e-05
173,9.190685e-06
174,2.4819541e-05
175,2.7859058e-05
176,1.2668755e-05
177,1.34412085e-05
178,7.149245e-05
179,0.00015128934
180,7.389e-05
181,0.0005430562
182,0.00028477135
183,0.0003636157
184,0.00045692394
185,4.210864e-05
186,6.456556e-05
187,4.6256137e-05
188,4.1877844e-05
189,0.0003415476
190,0.00038464172
191,4.4711574e-05
192,0.00025949773
193,0.00053761597
194,0.0001839441
195,9.2518174e-05
196,6.995278e-05
197,1.464369e-05
198,8.1567174e-05
199,9.86663e-05
200,7.3663796e-05
201,8.893892e-05
202,7.24407e-05
203,3.677194e-05
204,0.000115794304
205,0.00010289334
206,0.00020769419
207,3.4443354e-05
208,5.5490487e-05
209,6.3452185e-06
210,1.6919332e-05
211,0.00016217778
212,9.731458e-05
213,9.179324e-05
214,6.124394e-05
215,3.6739744e-05
216,9.0025926e-05
217,1.9706755e-05
218,3.5685865e-05
219,3.3487406e-05
220,1.942796e-05
221,2.9777624e-05
222,8.154409e-05
